n,time,elapsed_s,shutter_ms,shutter_try,shutter_status,wait_ms,polls,list_ms,thumb_ms,thumb_bytes,note
1,20:35:37,3,74,1,200,19,1,24,14,7218,
2,20:35:52,18,77,1,200,11,1,128,33,7179,
3,20:36:07,33,84,1,200,96,1,67,40,7197,
4,20:36:23,49,100,1,200,100,1,534,26,7197,
5,20:36:38,63,234,1,200,13,1,160,35,7225,
6,20:36:52,78,81,1,200,14,1,95,32,7193,
7,20:37:07,93,92,1,200,9,1,42,17,7204,
8,20:37:23,109,82,1,200,31,1,50,16,7176,
9,20:37:37,123,81,1,200,11,1,56,15,7211,
10,20:37:52,138,83,1,200,12,1,58,15,7209,
11,20:38:07,153,128,1,200,31,1,79,16,7195,
12,20:38:23,169,116,1,200,22,1,197,366,7180,
13,20:38:38,184,175,1,200,97,1,197,32,7163,
14,20:38:53,198,77,1,200,11,1,265,32,7179,
15,20:39:08,213,88,1,200,62,1,229,42,7210,
16,20:39:23,229,172,1,200,22,1,695,36,7186,
17,20:39:38,243,99,1,200,12,1,238,32,7208,
18,20:39:53,258,82,1,200,10,1,273,30,7189,
19,20:40:08,273,97,1,200,12,1,230,37,7183,
20,20:40:23,289,130,1,200,11,1,332,244,7210,
21,20:40:38,304,97,1,200,111,1,289,39,7191,
22,20:40:53,319,110,1,200,12,1,326,43,7232,
23,20:41:08,333,120,1,200,10,1,297,33,7208,
24,20:41:23,349,76,1,200,13,1,122,513,7191,
25,20:41:38,364,90,1,200,74,1,262,40,7170,
26,20:41:53,379,182,1,200,11,1,363,41,7190,
27,20:42:08,394,103,1,200,99,1,309,28,7219,
28,20:42:23,409,99,1,200,18,1,364,202,7220,
29,20:42:38,424,98,1,200,30,1,302,37,7182,
30,20:42:53,439,126,1,200,16,1,440,36,7153,
31,20:43:08,453,89,1,200,25,1,274,38,7204,
32,20:43:23,469,102,1,200,13,1,283,291,7176,
33,20:43:38,484,192,1,200,14,1,397,35,7186,
34,20:43:53,499,116,1,200,18,1,384,42,7185,
35,20:44:08,514,92,1,200,11,1,403,31,7193,
36,20:44:23,529,102,1,200,569,1,405,40,7170,
37,20:44:38,544,111,1,200,11,1,439,38,7172,
38,20:44:52,558,86,1,200,15,1,137,15,7195,
39,20:45:08,574,154,1,200,10,1,375,35,7193,
40,20:45:23,589,83,1,200,532,1,365,44,7208,
41,20:45:38,604,191,1,200,10,1,374,45,7198,
42,20:45:53,619,76,1,200,24,1,457,46,7230,
43,20:46:08,634,106,1,200,16,1,491,36,7195,
44,20:46:23,649,92,1,200,15,1,884,38,7196,
45,20:46:38,664,99,1,200,23,1,578,32,7190,
46,20:46:53,679,101,1,200,20,1,355,35,7197,
47,20:47:08,693,74,1,200,15,1,345,34,7196,
48,20:47:23,709,101,1,200,16,1,1010,54,7198,
49,20:47:38,724,92,1,200,105,1,420,27,7183,
50,20:47:53,739,82,1,200,10,1,504,34,7165,
51,20:48:08,754,102,1,200,113,1,566,33,7193,
52,20:48:23,769,105,1,200,24,1,991,47,7201,
53,20:48:38,784,87,1,200,11,1,636,33,7174,
54,20:48:53,799,110,1,200,14,1,404,33,7160,
55,20:49:08,814,87,1,200,32,1,421,38,7197,
56,20:49:23,829,68,1,200,18,1,663,37,7176,
57,20:49:38,844,89,1,200,23,1,474,30,7181,
58,20:49:53,859,140,1,200,30,1,631,65,7221,
59,20:50:08,874,105,1,200,29,1,489,40,7210,
60,20:50:24,889,151,1,200,553,1,633,38,7204,
61,20:50:38,903,78,1,200,10,1,346,34,7171,
62,20:50:53,919,111,1,200,15,1,396,32,7214,
63,20:51:08,934,99,1,200,18,1,593,26,7188,
64,20:51:24,949,77,1,200,100,1,1156,34,7199,
