n,time,elapsed_s,shutter_ms,shutter_try,shutter_status,wait_ms,polls,list_ms,thumb_ms,thumb_bytes,note
1,20:35:40,6,76,1,200,1833,1,536,46,4931,
2,20:35:56,21,2052,1,200,922,1,364,48,4928,
3,20:36:10,35,142,1,200,1757,1,351,48,4906,
4,20:36:26,51,1024,1,200,1310,1,618,70,4912,
5,20:36:40,65,969,1,200,934,1,416,49,4949,
6,20:36:55,81,911,1,200,1066,1,591,40,4941,
7,20:37:09,95,87,1,200,895,1,595,45,4916,
8,20:37:24,109,119,1,200,286,1,605,49,4929,
9,20:37:39,124,97,1,200,476,1,629,47,4920,
10,20:37:55,141,1948,1,200,42,1,615,56,4929,
11,20:38:08,154,90,1,200,27,1,641,63,4907,
12,20:38:24,169,103,1,200,320,1,641,36,4859,
13,20:38:40,186,871,1,200,1036,1,664,41,4927,
14,20:38:54,200,87,1,200,857,1,648,42,4900,
15,20:39:09,215,85,1,200,807,1,663,40,4889,
16,20:39:24,230,1048,1,200,23,1,691,39,4919,
17,20:39:39,245,978,1,200,215,1,686,33,4889,
18,20:39:54,260,926,1,200,332,1,674,41,4890,
19,20:40:09,275,102,1,200,786,1,717,49,4867,
20,20:40:25,291,951,1,200,912,1,737,41,4882,
21,20:40:40,306,93,1,200,1827,1,746,38,4897,
22,20:40:55,321,84,1,200,1782,1,756,43,4872,
23,20:41:10,335,745,1,200,865,1,717,60,4939,
24,20:41:25,351,1952,1,200,48,1,730,35,4953,
25,20:41:40,366,989,1,200,726,1,741,35,4932,
26,20:41:54,380,86,1,200,864,1,745,65,4937,
27,20:42:09,394,89,1,200,260,1,791,44,4913,
28,20:42:25,410,932,1,200,661,1,790,54,4936,
29,20:42:39,425,95,1,200,826,1,810,34,4926,
30,20:42:55,441,938,1,200,943,1,786,31,4924,
31,20:43:10,455,991,1,200,407,1,803,43,4923,
32,20:43:24,469,88,1,200,319,1,828,54,4945,
33,20:43:39,485,114,1,200,787,1,805,35,4929,
34,20:43:56,502,946,1,200,1964,1,842,48,4917,
35,20:44:09,515,101,1,200,802,1,815,41,4932,
36,20:44:25,530,150,1,200,987,1,865,44,4923,
37,20:44:40,546,115,1,200,1831,1,840,38,4943,
38,20:44:56,562,1975,1,200,928,1,838,33,4924,
39,20:45:09,575,118,1,200,807,1,840,34,4920,
