frame,wallclock,cycle_ms,post_ms,notify_ms,polls,fetch_ms,http,bytes,medY,meanY,p90,sat,file,note
1,11:47:35,12251,69,4207,3,27,200,5314,0.04434,0.04187,0.286,0.0000,IMG_0636.CR3,
2,11:47:50,12153,71,4123,3,28,200,5197,0.04333,0.04097,0.286,0.0000,IMG_0637.CR3,
3,11:48:05,12140,82,4105,3,31,200,5145,0.04268,0.04035,0.282,0.0000,IMG_0638.CR3,
4,11:48:20,12506,80,4470,3,35,200,5118,0.04192,0.03971,0.282,0.0000,IMG_0639.CR3,
5,11:48:36,13115,72,5077,3,36,200,5134,0.04219,0.03996,0.282,0.0000,IMG_0640.CR3,
6,11:48:51,13095,70,5056,3,37,200,5043,0.04150,0.03929,0.278,0.0000,IMG_0641.CR3,
7,11:49:05,12709,86,4681,3,27,200,5001,0.04152,0.03931,0.278,0.0000,IMG_0642.CR3,
8,11:49:20,12102,82,4072,3,29,200,5054,0.04168,0.03950,0.278,0.0000,IMG_0643.CR3,
9,11:49:32,9395,73,1364,3,30,200,4990,0.04112,0.03901,0.278,0.0000,IMG_0644.CR3,
10,11:49:47,9851,79,1821,3,29,200,4967,0.04116,0.03918,0.278,0.0000,IMG_0645.CR3,
11,11:50:03,10294,71,2266,3,26,200,4958,0.04147,0.03939,0.278,0.0000,IMG_0646.CR3,
12,11:50:18,9977,74,1953,3,23,200,4978,0.04159,0.03953,0.278,0.0000,IMG_0647.CR3,
13,11:50:32,9428,73,1397,3,31,200,4976,0.04166,0.03956,0.278,0.0000,IMG_0648.CR3,
14,11:50:47,9401,84,1374,3,25,200,4966,0.04190,0.03977,0.282,0.0000,IMG_0649.CR3,
15,11:51:02,9420,73,1392,3,27,200,4953,0.04200,0.03987,0.282,0.0000,IMG_0650.CR3,
16,11:51:17,9794,80,1770,3,23,200,4926,0.04216,0.04001,0.282,0.0000,IMG_0651.CR3,
17,11:51:33,10294,75,2260,3,32,200,4958,0.04242,0.04027,0.282,0.0000,IMG_0652.CR3,
18,11:51:48,9996,66,1967,3,27,200,4931,0.04237,0.04023,0.282,0.0000,IMG_0653.CR3,
19,11:52:02,9742,72,1364,3,377,200,4927,0.04251,0.04035,0.282,0.0000,IMG_0654.CR3,
20,11:52:17,9437,72,1405,3,31,200,4899,0.04260,0.04049,0.282,0.0000,IMG_0655.CR3,
21,11:52:32,9385,74,1356,3,28,200,4906,0.04246,0.04032,0.282,0.0000,IMG_0656.CR3,
22,11:52:47,9659,72,1626,3,30,200,4940,0.04226,0.04017,0.282,0.0000,IMG_0657.CR3,
23,11:53:03,10198,76,2167,3,30,200,4923,0.04192,0.03981,0.282,0.0000,IMG_0658.CR3,
24,11:53:17,9713,69,1681,3,31,200,4886,0.04151,0.03939,0.278,0.0000,IMG_0659.CR3,
25,11:53:32,9368,79,1339,3,29,200,4918,0.04104,0.03896,0.278,0.0000,IMG_0660.CR3,
26,11:53:47,9401,64,1372,3,28,200,4870,0.04044,0.03845,0.278,0.0000,IMG_0661.CR3,
27,11:54:02,9416,86,1386,3,28,200,4874,0.03994,0.03791,0.275,0.0000,IMG_0662.CR3,
28,11:54:17,9590,77,1558,3,31,200,4866,0.03946,0.03744,0.275,0.0000,IMG_0663.CR3,
29,11:54:33,10192,77,2129,3,62,200,4891,0.03915,0.03716,0.271,0.0000,IMG_0664.CR3,
30,11:54:47,9742,74,1714,3,28,200,4858,0.03810,0.03619,0.267,0.0000,IMG_0665.CR3,
31,11:55:02,9413,64,1384,3,27,200,4871,0.03747,0.03556,0.267,0.0000,IMG_0666.CR3,
32,11:55:17,9408,74,1378,3,29,200,4844,0.03679,0.03490,0.263,0.0000,IMG_0667.CR3,
33,11:55:32,9393,73,1361,3,31,200,4824,0.03586,0.03402,0.259,0.0000,IMG_0668.CR3,
34,11:55:47,9514,74,1485,3,27,200,4842,0.03510,0.03333,0.259,0.0000,IMG_0669.CR3,
35,11:56:03,10339,82,2308,3,29,200,4851,0.03480,0.03300,0.255,0.0000,IMG_0670.CR3,
36,11:56:18,10248,74,2219,3,28,200,4838,0.03420,0.03250,0.255,0.0000,IMG_0671.CR3,
37,11:56:32,9415,61,1382,3,33,200,4843,0.03414,0.03243,0.255,0.0000,IMG_0672.CR3,
38,11:56:47,9390,67,1356,3,33,200,4803,0.03409,0.03236,0.255,0.0000,IMG_0673.CR3,
39,11:57:02,9428,72,1396,3,30,200,4827,0.03410,0.03237,0.255,0.0000,IMG_0674.CR3,
40,11:57:17,9372,73,1342,3,29,200,4799,0.03416,0.03246,0.255,0.0000,IMG_0675.CR3,
41,11:57:33,10220,72,2191,3,28,200,4821,0.03417,0.03248,0.255,0.0000,IMG_0676.CR3,
42,11:57:48,10277,70,2247,3,29,200,4821,0.03413,0.03241,0.255,0.0000,IMG_0677.CR3,
43,11:58:02,9639,68,1607,3,30,200,4859,0.03388,0.03219,0.255,0.0000,IMG_0678.CR3,
44,11:58:17,9394,71,1362,4,31,200,4792,0.03346,0.03177,0.251,0.0000,IMG_0679.CR3,
45,11:58:32,9374,67,1343,3,30,200,4787,0.03287,0.03121,0.251,0.0000,IMG_0680.CR3,
46,11:58:47,9397,61,1363,3,33,200,4785,0.03216,0.03056,0.247,0.0000,IMG_0681.CR3,
47,11:59:03,10040,69,2010,3,28,200,4803,0.03150,0.02991,0.243,0.0000,IMG_0682.CR3,
48,11:59:18,10279,90,2248,3,29,200,4735,0.03082,0.02931,0.243,0.0000,IMG_0683.CR3,
49,11:59:32,9786,78,1757,3,27,200,4762,0.03023,0.02871,0.239,0.0000,IMG_0684.CR3,
50,11:59:47,9379,73,1346,3,32,200,4745,0.02978,0.02827,0.235,0.0000,IMG_0685.CR3,
51,12:00:02,9395,70,1365,3,30,200,4747,0.02930,0.02783,0.235,0.0000,IMG_0686.CR3,
52,12:00:17,9358,72,1327,3,30,200,4742,0.02884,0.02738,0.231,0.0000,IMG_0687.CR3,
53,12:00:32,9810,64,1778,3,31,200,4711,0.02845,0.02700,0.231,0.0000,IMG_0688.CR3,
54,12:00:48,10287,64,2254,3,30,200,4711,0.02800,0.02656,0.231,0.0000,IMG_0689.CR3,
55,12:01:03,9960,69,1930,3,29,200,4708,0.02759,0.02620,0.227,0.0000,IMG_0690.CR3,
56,12:01:17,9357,68,1324,3,30,200,4730,0.02715,0.02580,0.227,0.0000,IMG_0691.CR3,
57,12:01:32,9412,65,1382,3,29,200,4721,0.02689,0.02550,0.224,0.0000,IMG_0692.CR3,
58,12:01:47,9391,78,1362,3,28,200,4681,0.02624,0.02494,0.224,0.0000,IMG_0693.CR3,
59,12:02:02,9581,73,1551,3,28,200,4667,0.02580,0.02451,0.220,0.0000,IMG_0694.CR3,
60,12:02:18,10097,63,2066,3,30,200,4647,0.02495,0.02372,0.216,0.0000,IMG_0695.CR3,
61,12:02:32,9823,61,1794,3,28,200,4630,0.02413,0.02292,0.212,0.0000,IMG_0696.CR3,
62,12:02:47,9398,62,1363,3,33,200,4647,0.02357,0.02241,0.212,0.0000,IMG_0697.CR3,
63,12:03:02,9369,82,1339,3,30,200,4612,0.02266,0.02151,0.204,0.0000,IMG_0698.CR3,
64,12:03:17,9376,84,1345,3,27,200,4626,0.02186,0.02074,0.200,0.0000,IMG_0699.CR3,
65,12:03:32,9362,73,1329,3,31,200,4609,0.02135,0.02028,0.200,0.0000,IMG_0700.CR3,
66,12:03:48,10092,69,2064,4,27,200,4574,0.02098,0.01996,0.196,0.0000,IMG_0701.CR3,
67,12:04:03,9997,69,1966,3,30,200,4527,0.02043,0.01945,0.196,0.0000,IMG_0702.CR3,
68,12:04:17,9349,66,1320,3,28,200,4608,0.02060,0.01955,0.196,0.0000,IMG_0703.CR3,
69,12:04:32,9355,65,1326,3,29,200,4581,0.02052,0.01950,0.196,0.0000,IMG_0704.CR3,
70,12:04:47,9372,64,1340,3,30,200,4525,0.02061,0.01956,0.196,0.0000,IMG_0705.CR3,
71,12:05:02,9391,73,1358,3,31,200,4546,0.02058,0.01956,0.196,0.0000,IMG_0706.CR3,
72,12:05:18,9920,77,1886,3,31,200,4545,0.02050,0.01949,0.196,0.0000,IMG_0707.CR3,
73,12:05:33,10272,67,2240,3,29,200,4564,0.02044,0.01946,0.196,0.0000,IMG_0708.CR3,
74,12:05:47,9827,77,1794,3,29,200,4529,0.02044,0.01945,0.196,0.0000,IMG_0709.CR3,
75,12:06:02,9427,69,1350,3,74,200,4553,0.02048,0.01945,0.196,0.0000,IMG_0710.CR3,
76,12:06:17,9362,78,1331,3,29,200,4559,0.02064,0.01961,0.196,0.0000,IMG_0711.CR3,
77,12:06:32,9378,64,1352,3,25,200,4559,0.02083,0.01979,0.196,0.0000,IMG_0712.CR3,
78,12:06:47,9704,78,1677,3,25,200,4556,0.02096,0.01992,0.196,0.0000,IMG_0713.CR3,
79,12:07:03,10252,67,2222,3,27,200,4525,0.02115,0.02012,0.200,0.0000,IMG_0714.CR3,
80,12:07:18,10063,72,2039,3,23,200,4569,0.02158,0.02050,0.200,0.0000,IMG_0715.CR3,
81,12:07:32,9376,73,1343,3,27,200,4580,0.02203,0.02091,0.204,0.0000,IMG_0716.CR3,
82,12:07:47,9399,80,1367,3,29,200,4583,0.02248,0.02134,0.204,0.0000,IMG_0717.CR3,
83,12:08:02,9399,76,1373,4,24,200,4586,0.02286,0.02173,0.208,0.0000,IMG_0718.CR3,
84,12:08:17,9366,79,1332,3,32,200,4601,0.02326,0.02207,0.208,0.0000,IMG_0719.CR3,
85,12:08:33,10309,75,2277,3,31,200,4627,0.02360,0.02239,0.212,0.0000,IMG_0720.CR3,
86,12:08:48,10222,63,2193,3,27,200,4599,0.02401,0.02284,0.212,0.0000,IMG_0721.CR3,
