frame,wallclock,cycle_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,iso,iso_ms,file,medY,meanY,note
1,04:36:53,1647,79,200,200,1393,3,29,200,1250,7,IMG_0303.CR3,0.00015,0.00000,
2,04:36:59,2067,75,200,200,1949,4,26,200,1600,15,IMG_0304.CR3,0.00015,0.00000,
3,04:37:06,2500,85,200,200,2189,4,102,200,1250,117,IMG_0305.CR3,0.00017,0.00002,
4,04:37:12,2310,81,200,200,2158,3,60,200,1600,10,IMG_0306.CR3,0.00015,0.00000,
5,04:37:19,2373,178,200,200,2124,3,31,200,1250,35,IMG_0307.CR3,0.00016,0.00002,
6,04:37:24,1917,53,200,200,1815,3,29,200,1600,16,IMG_0308.CR3,0.00015,0.00000,
7,04:37:30,1502,76,200,200,1380,3,31,200,1250,13,IMG_0309.CR3,0.00016,0.00002,
8,04:37:35,1538,73,200,200,1400,4,26,200,1600,37,IMG_0310.CR3,0.00015,0.00000,
9,04:37:41,1525,75,200,200,1409,4,30,200,1250,10,IMG_0311.CR3,0.00017,0.00003,
10,04:37:47,2160,83,200,200,2035,3,29,200,1600,13,IMG_0312.CR3,0.00015,0.00000,
11,04:37:53,2253,78,200,200,2140,4,24,200,1250,10,IMG_0313.CR3,0.00016,0.00002,
12,04:37:59,2009,74,200,200,1897,3,27,200,1600,10,IMG_0314.CR3,0.00015,0.00000,
13,04:38:05,1504,69,200,200,1391,3,30,200,1250,12,IMG_0315.CR3,0.00016,0.00002,
14,04:38:10,1497,80,200,200,1380,4,27,200,1600,10,IMG_0316.CR3,0.00015,0.00000,
15,04:38:16,1556,71,200,200,1403,3,70,200,1250,11,IMG_0317.CR3,0.00016,0.00002,
16,04:38:21,1498,84,200,200,1368,3,26,200,1600,10,IMG_0318.CR3,0.00015,0.00000,
17,04:38:27,1860,82,200,200,1740,4,27,200,1250,10,IMG_0319.CR3,0.00017,0.00003,
18,04:38:33,2133,67,200,200,2031,3,24,200,1600,10,IMG_0320.CR3,0.00015,0.00000,
19,04:38:39,1853,72,200,200,1738,3,29,200,1250,12,IMG_0321.CR3,0.00017,0.00003,
20,04:38:45,1476,68,200,200,1367,3,28,200,1600,12,IMG_0322.CR3,0.00015,0.00000,
21,04:38:50,1496,103,200,200,1351,3,28,200,1250,14,IMG_0323.CR3,0.00017,0.00003,
22,04:38:56,1490,83,200,200,1368,4,28,200,1600,10,IMG_0324.CR3,0.00015,0.00000,
23,04:39:01,1499,83,200,200,1374,3,29,200,1250,12,IMG_0325.CR3,0.00016,0.00002,
24,04:39:07,1584,87,200,200,1458,3,29,200,1600,10,IMG_0326.CR3,0.00015,0.00000,
25,04:39:13,2161,81,200,200,2037,4,28,200,1250,10,IMG_0327.CR3,0.00016,0.00002,
26,04:39:19,2051,86,200,200,1925,3,28,200,1600,11,IMG_0328.CR3,0.00015,0.00000,
27,04:39:25,1524,87,200,200,1374,3,27,200,1250,13,IMG_0329.CR3,0.00017,0.00003,
28,04:39:30,1529,111,200,200,1371,4,28,200,1600,10,IMG_0330.CR3,0.00015,0.00000,
29,04:39:36,1511,82,200,200,1389,3,29,200,1250,10,IMG_0331.CR3,0.00016,0.00002,
30,04:39:41,1494,86,200,200,1370,3,26,200,1600,11,IMG_0332.CR3,0.00015,0.00000,
31,04:39:47,1491,70,200,200,1381,4,26,200,1250,13,IMG_0333.CR3,0.00017,0.00003,
32,04:39:53,2059,75,200,200,1946,3,25,200,1600,11,IMG_0334.CR3,0.00015,0.00000,
33,04:39:59,2122,71,200,200,2013,3,26,200,1250,10,IMG_0335.CR3,0.00016,0.00002,
34,04:40:04,1616,81,200,200,1494,4,29,200,1600,12,IMG_0336.CR3,0.00015,0.00000,
35,04:40:10,1520,86,200,200,1394,3,28,200,1250,10,IMG_0337.CR3,0.00016,0.00002,
36,04:40:15,1503,76,200,200,1387,3,25,200,1600,11,IMG_0338.CR3,0.00015,0.00000,
37,04:40:21,1524,86,200,200,1401,3,27,200,1250,10,IMG_0339.CR3,0.00017,0.00003,
38,04:40:26,1475,88,200,200,1340,3,31,200,1600,14,IMG_0340.CR3,0.00015,0.00000,
39,04:40:32,1971,68,200,200,1854,4,32,200,1250,11,IMG_0341.CR3,0.00016,0.00002,
40,04:40:39,2275,89,200,200,2110,3,61,200,1600,11,IMG_0342.CR3,0.00015,0.00000,
41,04:40:45,2213,80,200,200,2097,3,25,200,1250,10,IMG_0343.CR3,0.00016,0.00002,
42,04:40:50,1513,84,200,200,1389,4,26,200,1600,13,IMG_0344.CR3,0.00015,0.00000,
43,04:40:56,1505,81,200,200,1386,3,26,200,1250,10,IMG_0345.CR3,0.00017,0.00003,
44,04:41:01,1520,65,200,200,1416,3,27,200,1600,11,IMG_0346.CR3,0.00015,0.00000,
45,04:41:07,1511,78,200,200,1392,4,28,200,1250,11,IMG_0347.CR3,0.00017,0.00003,
46,04:41:13,1649,77,200,200,1531,3,30,200,1600,10,IMG_0348.CR3,0.00015,0.00000,
47,04:41:19,2316,73,200,200,2205,4,25,200,1250,11,IMG_0349.CR3,0.00017,0.00003,
48,04:41:25,2166,76,200,200,2049,4,27,200,1600,11,IMG_0350.CR3,0.00015,0.00000,
49,04:41:31,1759,154,200,200,1564,3,29,200,1250,12,IMG_0351.CR3,0.00016,0.00002,
50,04:41:36,1472,100,200,200,1334,3,26,200,1600,11,IMG_0352.CR3,0.00015,0.00000,
51,04:41:42,1498,70,200,200,1386,3,28,200,1250,11,IMG_0353.CR3,0.00017,0.00002,
52,04:41:47,1473,80,200,200,1350,3,31,200,1600,11,IMG_0354.CR3,0.00015,0.00000,
53,04:41:53,1481,76,200,200,1356,4,30,200,1250,12,IMG_0355.CR3,0.00017,0.00003,
54,04:41:59,2225,69,200,200,2117,3,26,200,1600,12,IMG_0356.CR3,0.00015,0.00000,
55,04:42:05,2256,74,200,200,2139,3,29,200,1250,14,IMG_0357.CR3,0.00016,0.00002,
56,04:42:11,1920,78,200,200,1807,3,22,200,1600,11,IMG_0358.CR3,0.00015,0.00000,
57,04:42:17,1498,66,200,200,1392,3,28,200,1250,10,IMG_0359.CR3,0.00017,0.00003,
58,04:42:22,1506,70,200,200,1353,3,29,200,1600,11,IMG_0360.CR3,0.00015,0.00000,
59,04:42:28,1514,79,200,200,1390,4,30,200,1250,14,IMG_0361.CR3,0.00017,0.00003,
60,04:42:33,1506,78,200,200,1387,4,30,200,1600,11,IMG_0362.CR3,0.00015,0.00000,
61,04:42:39,1890,87,200,200,1759,4,32,200,1250,10,IMG_0363.CR3,0.00017,0.00003,
62,04:42:45,2095,74,200,200,1978,4,28,200,1600,12,IMG_0364.CR3,0.00015,0.00000,
63,04:42:51,1818,73,200,200,1707,3,27,200,1250,10,IMG_0365.CR3,0.00016,0.00002,
64,04:42:57,1479,69,200,200,1372,3,28,200,1600,10,IMG_0366.CR3,0.00015,0.00000,
65,04:43:02,1581,159,200,200,1383,3,27,200,1250,11,IMG_0367.CR3,0.00017,0.00003,
66,04:43:08,1541,128,200,200,1371,3,29,200,1600,10,IMG_0368.CR3,0.00015,0.00000,
67,04:43:13,1504,68,200,200,1396,4,25,200,1250,11,IMG_0369.CR3,0.00017,0.00003,
68,04:43:19,1663,73,200,200,1550,4,30,200,1600,10,IMG_0370.CR3,0.00015,0.00000,
69,04:43:25,2144,65,200,200,2036,3,31,200,1250,11,IMG_0371.CR3,0.00016,0.00002,
70,04:43:31,1961,71,200,200,1856,3,24,200,1600,10,IMG_0372.CR3,0.00015,0.00000,
71,04:43:36,1535,73,200,200,1414,3,35,200,1250,11,IMG_0373.CR3,0.00017,0.00003,
72,04:43:42,1527,85,200,200,1404,3,27,200,1600,10,IMG_0374.CR3,0.00015,0.00000,
73,04:43:47,1483,77,200,200,1367,3,26,200,1250,11,IMG_0375.CR3,0.00016,0.00002,
74,04:43:53,1493,77,200,200,1377,4,26,200,1600,12,IMG_0376.CR3,0.00015,0.00000,
75,04:43:59,1541,67,200,200,1430,3,29,200,1250,11,IMG_0377.CR3,0.00017,0.00003,
76,04:44:05,2243,75,200,200,2128,3,26,200,1600,11,IMG_0378.CR3,0.00015,0.00000,
77,04:44:11,2268,83,200,200,2118,3,54,200,1250,10,IMG_0379.CR3,0.00016,0.00002,
78,04:44:17,1931,83,200,200,1803,3,31,200,1600,13,IMG_0380.CR3,0.00015,0.00000,
79,04:44:22,1501,73,200,200,1385,3,29,200,1250,12,IMG_0381.CR3,0.00017,0.00003,
80,04:44:28,1463,88,200,200,1336,4,28,200,1600,10,IMG_0382.CR3,0.00015,0.00000,
81,04:44:33,1498,86,200,200,1376,4,24,200,1250,11,IMG_0383.CR3,0.00016,0.00002,
82,04:44:39,1479,79,200,200,1358,4,32,200,1600,10,IMG_0384.CR3,0.00015,0.00000,
83,04:44:45,2007,77,200,200,1891,3,28,200,1250,10,IMG_0385.CR3,0.00016,0.00002,
84,04:44:51,2220,73,200,200,2110,3,27,200,1600,10,IMG_0386.CR3,0.00015,0.00000,
85,04:44:57,2155,79,200,200,2038,3,27,200,1250,10,IMG_0387.CR3,0.00017,0.00003,
86,04:45:03,1490,79,200,200,1369,3,29,200,1600,11,IMG_0388.CR3,0.00015,0.00000,
87,04:45:08,1504,74,200,200,1390,3,26,200,1250,11,IMG_0389.CR3,0.00017,0.00003,
88,04:45:14,1485,66,200,200,1389,4,19,200,1600,11,IMG_0390.CR3,0.00015,0.00000,
89,04:45:19,1511,75,200,200,1397,4,27,200,1250,10,IMG_0391.CR3,0.00017,0.00003,
90,04:45:25,1644,80,200,200,1522,3,28,200,1600,10,IMG_0392.CR3,0.00015,0.00000,
91,04:45:31,2217,72,200,200,2104,3,29,200,1250,12,IMG_0393.CR3,0.00017,0.00003,
92,04:45:37,1948,81,200,200,1823,3,32,200,1600,12,IMG_0394.CR3,0.00015,0.00000,
93,04:45:43,1516,88,200,200,1389,3,28,200,1250,11,IMG_0395.CR3,0.00016,0.00002,
94,04:45:48,1489,81,200,200,1370,4,26,200,1600,10,IMG_0396.CR3,0.00015,0.00000,
95,04:45:54,1496,79,200,200,1378,4,26,200,1250,12,IMG_0397.CR3,0.00016,0.00002,
96,04:45:59,1491,70,200,200,1381,3,30,200,1600,10,IMG_0398.CR3,0.00015,0.00000,
97,04:46:05,1482,67,200,200,1375,3,29,200,1250,11,IMG_0399.CR3,0.00017,0.00003,
98,04:46:11,2091,85,200,200,1967,3,27,200,1600,10,IMG_0400.CR3,0.00015,0.00000,
99,04:46:17,2174,75,200,200,2060,3,28,200,1250,10,IMG_0401.CR3,0.00017,0.00003,
100,04:46:22,1518,75,200,200,1408,4,25,200,1600,10,IMG_0402.CR3,0.00015,0.00000,
101,04:46:28,1571,163,200,200,1369,3,29,200,1250,10,IMG_0403.CR3,0.00016,0.00002,
102,04:46:34,1560,142,200,200,1381,4,26,200,1600,10,IMG_0404.CR3,0.00015,0.00000,
103,04:46:39,1504,72,200,200,1394,4,26,200,1250,11,IMG_0405.CR3,0.00016,0.00002,
104,04:46:44,1481,72,200,200,1370,3,26,200,1600,11,IMG_0406.CR3,0.00015,0.00000,
105,04:46:50,1937,72,200,200,1823,3,27,200,1250,13,IMG_0407.CR3,0.00017,0.00003,
106,04:46:57,2125,84,200,200,2006,3,25,200,1600,10,IMG_0408.CR3,0.00015,0.00000,
107,04:47:02,1760,76,200,200,1648,3,25,200,1250,10,IMG_0409.CR3,0.00016,0.00002,
108,04:47:08,2034,140,200,200,1858,3,24,200,1600,12,IMG_0410.CR3,0.00015,0.00000,
109,04:47:14,1548,106,200,200,1400,4,31,200,1250,11,IMG_0411.CR3,0.00017,0.00004,
110,04:47:19,1510,131,200,200,1338,3,29,200,1600,11,IMG_0412.CR3,0.00015,0.00000,
111,04:47:25,1634,174,200,200,1416,4,33,200,1250,10,IMG_0413.CR3,0.00017,0.00003,
112,04:47:31,1746,79,200,200,1625,3,30,200,1600,10,IMG_0414.CR3,0.00015,0.00000,
113,04:47:37,2318,74,200,200,2199,3,30,200,1250,12,IMG_0415.CR3,0.00016,0.00002,
114,04:47:43,2193,81,200,200,2074,4,27,200,1600,11,IMG_0416.CR3,0.00015,0.00000,
115,04:47:49,1695,68,200,200,1584,3,29,200,1250,11,IMG_0417.CR3,0.00017,0.00003,
116,04:47:54,1488,85,200,200,1365,3,24,200,1600,13,IMG_0418.CR3,0.00015,0.00000,
117,04:48:00,1502,88,200,200,1375,4,26,200,1250,11,IMG_0419.CR3,0.00017,0.00003,
118,04:48:05,1483,81,200,200,1365,3,25,200,1600,11,IMG_0420.CR3,0.00015,0.00000,
119,04:48:11,1528,69,200,200,1421,3,26,200,1250,10,IMG_0421.CR3,0.00016,0.00002,
120,04:48:17,2261,77,200,200,2144,4,28,200,1600,11,IMG_0422.CR3,0.00015,0.00000,
121,04:48:24,2247,77,200,200,2131,3,27,200,1250,12,IMG_0423.CR3,0.00016,0.00002,
122,04:48:29,1875,83,200,200,1755,3,26,200,1600,10,IMG_0424.CR3,0.00015,0.00000,
123,04:48:35,1503,85,200,200,1376,4,31,200,1250,11,IMG_0425.CR3,0.00017,0.00003,
124,04:48:40,1482,78,200,200,1360,3,34,200,1600,10,IMG_0426.CR3,0.00015,0.00000,
125,04:48:46,1520,78,200,200,1400,4,31,200,1250,11,IMG_0427.CR3,0.00016,0.00002,
126,04:48:51,1486,118,200,200,1327,3,28,200,1600,11,IMG_0428.CR3,0.00015,0.00000,
127,04:48:57,2050,79,200,200,1933,3,27,200,1250,10,IMG_0429.CR3,0.00016,0.00002,
128,04:49:04,2232,75,200,200,2116,4,29,200,1600,10,IMG_0430.CR3,0.00015,0.00000,
129,04:49:10,2155,86,200,200,2028,3,29,200,1250,11,IMG_0431.CR3,0.00017,0.00003,
130,04:49:15,1486,71,200,200,1373,3,31,200,1600,10,IMG_0432.CR3,0.00015,0.00000,
131,04:49:21,1511,69,200,200,1401,4,29,200,1250,11,IMG_0433.CR3,0.00017,0.00003,
132,04:49:26,1459,77,200,200,1338,3,31,200,1600,11,IMG_0434.CR3,0.00015,0.00000,
133,04:49:32,1513,75,200,200,1395,3,30,200,1250,12,IMG_0435.CR3,0.00016,0.00002,
134,04:49:38,1846,127,200,200,1679,4,29,200,1600,10,IMG_0436.CR3,0.00015,0.00000,
135,04:49:44,2361,118,200,200,2201,3,29,200,1250,11,IMG_0437.CR3,0.00017,0.00003,
136,04:49:50,2174,74,200,200,2058,3,30,200,1600,10,IMG_0438.CR3,0.00015,0.00000,
137,04:49:56,1661,79,200,200,1538,4,30,200,1250,12,IMG_0439.CR3,0.00017,0.00003,
138,04:50:01,1500,67,200,200,1393,3,29,200,1600,11,IMG_0440.CR3,0.00015,0.00000,
