frame,wallclock,cycle_ms,post_ms,lv_ms,find_ms,dirreq,fetch_ms,http,bytes,medY,meanY,p90,sat,file,note
1,10:26:48,11448,63,21,892,2,31,200,3103,0.00060,0.00940,0.145,0.0000,IMG_0486.CR3,
2,10:27:03,11367,70,19,834,2,32,200,3119,0.00060,0.00939,0.145,0.0000,IMG_0487.CR3,
3,10:27:18,11368,91,19,830,2,36,200,3135,0.00060,0.00941,0.145,0.0000,IMG_0488.CR3,
4,10:27:33,11376,107,19,837,2,37,200,3115,0.00060,0.00942,0.145,0.0000,IMG_0489.CR3,
5,10:27:48,11386,112,18,847,2,37,200,3109,0.00059,0.00925,0.145,0.0000,IMG_0490.CR3,
6,10:28:03,11385,127,19,848,2,36,200,3070,0.00058,0.00909,0.141,0.0000,IMG_0491.CR3,
7,10:28:18,11386,142,19,854,2,31,200,3087,0.00056,0.00881,0.141,0.0000,IMG_0492.CR3,
8,10:28:33,11388,161,19,857,2,28,200,3077,0.00055,0.00845,0.137,0.0000,IMG_0493.CR3,
9,10:28:48,11393,179,20,863,2,28,200,3068,0.00054,0.00801,0.133,0.0000,IMG_0494.CR3,
10,10:29:03,11399,62,26,869,2,29,200,3061,0.00053,0.00762,0.129,0.0000,IMG_0495.CR3,
11,10:29:18,11403,68,20,872,2,30,200,2994,0.00052,0.00734,0.125,0.0000,IMG_0496.CR3,
12,10:29:33,11419,89,19,886,2,32,200,2963,0.00052,0.00691,0.122,0.0000,IMG_0497.CR3,
13,10:29:48,11423,103,18,893,2,28,200,2911,0.00051,0.00661,0.118,0.0000,IMG_0498.CR3,
14,10:30:03,11432,108,21,904,2,27,200,2863,0.00051,0.00629,0.114,0.0000,IMG_0499.CR3,
15,10:30:18,11448,122,19,919,3,28,200,2851,0.00051,0.00611,0.114,0.0000,IMG_0500.CR3,
16,10:30:32,10581,136,18,54,2,26,200,2783,0.00051,0.00593,0.114,0.0000,IMG_0501.CR3,
17,10:30:47,10595,152,20,56,2,37,200,2804,0.00051,0.00575,0.110,0.0000,IMG_0502.CR3,
18,10:31:02,10594,172,21,63,2,30,200,2811,0.00050,0.00560,0.110,0.0000,IMG_0503.CR3,
19,10:31:17,10589,187,26,60,2,28,200,2793,0.00050,0.00548,0.106,0.0000,IMG_0504.CR3,
20,10:31:32,10610,67,20,74,2,35,200,2766,0.00050,0.00542,0.106,0.0000,IMG_0505.CR3,
21,10:31:47,10618,71,18,83,2,34,200,2748,0.00050,0.00529,0.106,0.0000,IMG_0506.CR3,
22,10:32:02,10623,92,19,92,2,30,200,2693,0.00050,0.00517,0.102,0.0000,IMG_0507.CR3,
23,10:32:17,10626,110,19,94,2,31,200,2724,0.00050,0.00512,0.102,0.0000,IMG_0508.CR3,
24,10:32:32,10640,117,22,103,2,35,200,2758,0.00050,0.00525,0.102,0.0000,IMG_0509.CR3,
25,10:32:47,10640,132,18,105,2,34,200,2736,0.00050,0.00517,0.102,0.0000,IMG_0510.CR3,
26,10:33:02,10642,146,19,105,2,36,200,2775,0.00050,0.00522,0.102,0.0000,IMG_0511.CR3,
27,10:33:17,10640,166,18,101,2,38,200,2752,0.00050,0.00528,0.106,0.0000,IMG_0512.CR3,
28,10:33:32,10654,184,19,107,2,46,200,2789,0.00050,0.00538,0.106,0.0000,IMG_0513.CR3,
29,10:33:47,10660,62,19,113,2,47,200,2783,0.00050,0.00548,0.106,0.0000,IMG_0514.CR3,
