frame,set,mode,thumbs,wallclock,cycle_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,fetch_bytes,iso,iso_ms,file,medY,meanY,note
1,1,a,0,13:17:04,8870,65,200,200,860,3,0,0,0,1250,10,IMG_0007.CR3,-1.00000,-1.00000,
2,1,a,1,13:17:17,8994,82,200,200,896,3,49,200,2977,1600,29,IMG_0008.CR3,0.00049,0.02724,
3,1,a,2,13:17:30,9006,95,200,200,923,4,50,200,3039,1250,31,IMG_0009.CR3,0.00049,0.02972,
4,1,a,3,13:17:43,8976,98,200,200,891,3,39,200,3288,1600,44,IMG_0010.CR3,0.00052,0.04154,
5,1,a,4,13:17:56,9030,142,200,200,944,3,46,200,3227,1250,39,IMG_0011.CR3,0.00051,0.03921,
6,1,a,5,13:18:09,9004,117,200,200,926,3,40,200,3366,1600,36,IMG_0012.CR3,0.00057,0.05311,
7,1,a,6,13:18:22,9040,128,200,200,957,3,46,200,3381,1250,36,IMG_0013.CR3,0.00053,0.04726,
8,1,a,7,13:18:35,8975,93,200,200,892,3,33,200,3435,1600,49,IMG_0014.CR3,0.00060,0.05718,
9,1,a,8,13:18:48,9021,132,200,200,943,3,40,200,3350,1250,37,IMG_0015.CR3,0.00054,0.04805,
10,1,a,9,13:19:01,9010,126,200,200,931,3,34,200,3420,1600,43,IMG_0016.CR3,0.00060,0.05853,
11,1,a,10,13:19:14,9039,134,200,200,957,4,50,200,3326,1250,31,IMG_0017.CR3,0.00054,0.04836,
12,1,a,11,13:19:27,8975,97,200,200,898,4,36,200,3437,1600,40,IMG_0018.CR3,0.00061,0.05966,
13,1,a,12,13:19:40,9033,142,200,200,950,3,42,200,3369,1250,39,IMG_0019.CR3,0.00054,0.04875,
14,1,a,13,13:19:53,9006,114,200,200,926,3,41,200,3382,1600,38,IMG_0020.CR3,0.00060,0.05864,
15,1,a,14,13:20:06,9018,120,200,200,936,3,47,200,3391,1250,34,IMG_0021.CR3,0.00053,0.04812,
16,1,a,15,13:20:19,8994,114,200,200,918,3,35,200,3430,1600,40,IMG_0022.CR3,0.00058,0.05706,
17,1,a,16,13:20:32,9022,134,200,200,939,3,36,200,3353,1250,44,IMG_0023.CR3,0.00053,0.04581,
18,1,a,17,13:20:45,9001,125,200,200,922,3,35,200,3405,1600,43,IMG_0024.CR3,0.00058,0.05548,
19,1,a,18,13:20:58,9040,134,200,200,957,4,49,200,3332,1250,33,IMG_0025.CR3,0.00052,0.04389,
20,1,a,19,13:21:11,8998,110,200,200,920,3,41,200,3386,1600,36,IMG_0026.CR3,0.00056,0.05095,
21,1,a,20,13:21:24,9011,120,200,200,933,3,41,200,3310,1250,36,IMG_0027.CR3,0.00051,0.04273,
22,1,a,21,13:21:37,8991,121,200,200,914,4,33,200,3359,1600,43,IMG_0028.CR3,0.00057,0.05080,
23,1,a,22,13:21:50,9049,147,200,200,968,3,48,200,3332,1250,32,IMG_0029.CR3,0.00052,0.04346,
24,1,a,23,13:22:03,8983,105,200,200,908,3,31,200,3380,1600,43,IMG_0030.CR3,0.00056,0.05419,
