frame,set,mode,thumbs,wallclock,cycle_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,fetch_bytes,iso,iso_ms,reconn,file,medY,meanY,note
1,1,a,0,15:08:50,8873,81,200,200,859,4,0,0,0,1250,13,0,IMG_0001.CR3,-1.00000,-1.00000,
2,1,a,1,15:09:03,9119,77,200,200,949,4,94,200,3280,1600,43,0,IMG_0002.CR3,0.00045,0.00167,
3,1,a,2,15:09:16,8971,118,200,200,888,3,38,200,3227,1250,43,0,IMG_0003.CR3,0.00046,0.00169,
4,1,a,3,15:09:29,9012,142,200,200,930,3,44,200,3124,1600,37,0,IMG_0004.CR3,0.00047,0.00242,
5,1,a,4,15:09:42,9037,143,200,200,950,3,53,200,3270,1250,33,0,IMG_0005.CR3,0.00046,0.00181,
6,1,a,5,15:09:55,8987,110,200,200,904,3,36,200,3143,1600,46,0,IMG_0006.CR3,0.00047,0.00268,
7,1,a,6,15:10:08,9009,144,200,200,927,3,43,200,3344,1250,38,0,IMG_0007.CR3,0.00045,0.00202,
8,1,a,7,15:10:21,9013,146,200,200,931,3,39,200,3185,1600,42,0,IMG_0008.CR3,0.00047,0.00300,
9,1,a,8,15:10:34,9046,141,200,200,956,4,56,200,3342,1250,33,0,IMG_0009.CR3,0.00046,0.00228,
10,1,a,9,15:10:47,8978,108,200,200,898,3,39,200,3177,1600,39,0,IMG_0010.CR3,0.00047,0.00335,
11,1,a,10,15:11:00,9023,144,200,200,941,3,46,200,3368,1250,36,0,IMG_0011.CR3,0.00045,0.00243,
12,1,a,11,15:11:13,9003,132,200,200,916,3,39,200,3146,1600,47,0,IMG_0012.CR3,0.00048,0.00368,
13,1,a,12,15:11:26,9039,136,200,200,952,3,54,200,3328,1250,33,0,IMG_0013.CR3,0.00046,0.00279,
14,1,a,13,15:11:39,8979,113,200,200,892,3,40,200,3134,1600,44,0,IMG_0014.CR3,0.00048,0.00416,
15,1,a,14,15:11:52,9040,147,200,200,952,4,51,200,3343,1250,36,0,IMG_0015.CR3,0.00046,0.00291,
16,1,a,15,15:12:05,8990,118,200,200,910,4,39,200,3168,1600,41,0,IMG_0016.CR3,0.00048,0.00416,
17,1,a,16,15:12:18,9033,139,200,200,948,3,51,200,3322,1250,33,0,IMG_0017.CR3,0.00046,0.00308,
18,1,a,17,15:12:31,8981,115,200,200,898,3,45,200,3158,1600,37,0,IMG_0018.CR3,0.00048,0.00481,
19,1,a,18,15:12:44,9020,160,200,200,938,3,41,200,3354,1250,38,0,IMG_0019.CR3,0.00047,0.00361,
20,1,a,19,15:12:57,9020,143,200,200,936,3,41,200,3139,1600,41,0,IMG_0020.CR3,0.00048,0.00539,
21,1,a,20,15:13:10,9030,138,200,200,942,3,55,200,3368,1250,31,0,IMG_0021.CR3,0.00046,0.00383,
22,1,a,21,15:13:23,8976,110,200,200,894,3,42,200,3105,1600,38,0,IMG_0022.CR3,0.00048,0.00551,
23,1,a,22,15:13:36,9042,159,200,200,954,3,47,200,3353,1250,39,0,IMG_0023.CR3,0.00046,0.00380,
24,1,a,23,15:13:49,8982,117,200,200,905,4,35,200,3108,1600,41,0,IMG_0024.CR3,0.00048,0.00536,
25,1,a,24,15:14:02,9024,154,200,200,943,3,36,200,3329,1250,43,0,IMG_0025.CR3,0.00046,0.00379,
26,1,a,25,15:14:15,9000,144,200,200,923,3,35,200,3107,1600,39,0,IMG_0026.CR3,0.00048,0.00547,
27,1,a,26,15:14:28,9043,154,200,200,958,3,50,200,3291,1250,35,0,IMG_0027.CR3,0.00047,0.00371,
28,1,a,27,15:14:41,8969,125,200,200,896,3,35,200,3010,1600,37,0,IMG_0028.CR3,0.00048,0.00474,
29,1,a,28,15:14:54,9035,167,200,200,958,4,34,200,3272,1250,43,0,IMG_0029.CR3,0.00047,0.00303,
30,1,a,29,15:15:07,9034,147,200,200,951,3,48,200,3005,1600,35,0,IMG_0030.CR3,0.00048,0.00394,
31,1,a,30,15:15:20,9001,117,200,200,917,3,36,200,3261,1250,47,0,IMG_0031.CR3,0.00046,0.00252,
32,1,a,31,15:15:33,8991,127,200,200,907,4,38,200,3010,1600,45,0,IMG_0032.CR3,0.00048,0.00332,
33,1,a,32,15:15:46,9022,150,200,200,943,3,37,200,3247,1250,40,0,IMG_0033.CR3,0.00046,0.00221,
34,1,a,33,15:15:59,9014,141,200,200,929,3,35,200,3038,1600,49,0,IMG_0034.CR3,0.00048,0.00294,
35,1,a,34,15:16:12,9035,147,200,200,949,3,48,200,3139,1250,36,0,IMG_0035.CR3,0.00047,0.00207,
36,1,a,35,15:16:25,8978,117,200,200,902,3,37,200,2957,1600,38,0,IMG_0036.CR3,0.00048,0.00286,
37,1,a,36,15:16:38,9028,157,200,200,949,3,34,200,3179,1250,44,0,IMG_0037.CR3,0.00047,0.00204,
38,1,a,37,15:16:51,9009,138,200,200,922,3,37,200,2998,1600,49,0,IMG_0038.CR3,0.00048,0.00280,
39,1,a,38,15:17:04,9026,137,200,200,944,3,42,200,3242,1250,38,0,IMG_0039.CR3,0.00046,0.00201,
40,1,a,39,15:17:17,8990,131,200,200,910,4,35,200,3027,1600,43,0,IMG_0040.CR3,0.00048,0.00287,
41,1,a,40,15:17:30,9035,151,200,200,955,3,41,200,3157,1250,36,0,IMG_0041.CR3,0.00046,0.00216,
42,1,a,41,15:17:43,8985,122,200,200,902,3,37,200,2991,1600,45,0,IMG_0042.CR3,0.00048,0.00303,
43,1,a,42,15:17:56,9032,159,200,200,954,4,35,200,3144,1250,41,0,IMG_0043.CR3,0.00047,0.00200,
44,1,a,43,15:18:09,9006,129,200,200,926,3,37,200,3032,1600,43,0,IMG_0044.CR3,0.00048,0.00258,
45,1,a,44,15:18:22,9013,135,200,200,934,3,41,200,3219,1250,36,0,IMG_0045.CR3,0.00047,0.00177,
46,1,a,45,15:18:35,8999,134,200,200,918,3,37,200,2978,1600,41,0,IMG_0046.CR3,0.00048,0.00234,
47,1,a,46,15:18:48,9025,148,200,200,945,3,36,200,3123,1250,42,0,IMG_0047.CR3,0.00047,0.00168,
48,1,a,47,15:19:01,9011,138,200,200,928,3,37,200,2884,1600,45,0,IMG_0048.CR3,0.00048,0.00226,
49,1,a,48,15:19:14,9033,147,200,200,948,3,47,200,3108,1250,37,0,IMG_0049.CR3,0.00047,0.00163,
50,1,a,49,15:19:27,8977,115,200,200,898,3,36,200,2960,1600,41,0,IMG_0050.CR3,0.00048,0.00219,
51,1,a,50,15:19:40,9027,155,200,200,946,3,36,200,3108,1250,44,0,IMG_0051.CR3,0.00047,0.00162,
52,1,a,51,15:19:53,8988,138,200,200,916,3,35,200,2988,1600,36,0,IMG_0052.CR3,0.00048,0.00229,
53,1,a,52,15:20:06,9050,165,200,200,968,3,43,200,3131,1250,37,0,IMG_0053.CR3,0.00047,0.00173,
54,1,a,53,15:20:19,9016,130,200,200,933,3,41,200,2994,1600,38,0,IMG_0054.CR3,0.00048,0.00246,
55,1,a,54,15:20:32,8995,118,200,200,917,3,38,200,3135,1250,40,0,IMG_0055.CR3,0.00047,0.00185,
56,1,a,55,15:20:45,8999,135,200,200,909,3,44,200,3046,1600,45,0,IMG_0056.CR3,0.00048,0.00268,
57,1,a,56,15:20:58,9042,148,200,200,961,4,42,200,3175,1250,39,0,IMG_0057.CR3,0.00047,0.00201,
58,1,a,57,15:21:11,9002,119,200,200,916,3,39,200,2986,1600,43,0,IMG_0058.CR3,0.00048,0.00295,
59,1,a,58,15:21:24,9018,128,200,200,939,3,42,200,3226,1250,37,0,IMG_0059.CR3,0.00047,0.00225,
60,1,a,59,15:21:37,8985,132,200,200,905,3,37,200,3058,1600,40,0,IMG_0060.CR3,0.00048,0.00333,
61,1,a,60,15:21:50,9048,156,200,200,960,3,51,200,3227,1250,35,0,IMG_0061.CR3,0.00047,0.00241,
62,1,a,61,15:22:03,8980,125,200,200,904,3,36,200,3041,1600,39,0,IMG_0062.CR3,0.00048,0.00343,
63,1,a,62,15:22:16,9032,157,200,200,950,3,37,200,3229,1250,43,0,IMG_0063.CR3,0.00047,0.00252,
64,1,a,63,15:22:29,8994,129,200,200,915,3,37,200,3028,1600,40,0,IMG_0064.CR3,0.00048,0.00374,
65,1,a,64,15:22:42,9051,155,200,200,966,3,47,200,3246,1250,36,0,IMG_0065.CR3,0.00047,0.00277,
66,1,a,65,15:22:55,8972,109,200,200,894,3,38,200,2999,1600,39,0,IMG_0066.CR3,0.00048,0.00424,
67,1,a,66,15:23:08,9031,156,200,200,948,3,40,200,3328,1250,41,0,IMG_0067.CR3,0.00047,0.00319,
68,1,a,67,15:23:22,9014,129,200,200,936,3,42,200,3106,1600,34,0,IMG_0068.CR3,0.00048,0.00468,
69,1,a,68,15:23:35,9015,126,200,200,935,3,43,200,3275,1250,35,0,IMG_0069.CR3,0.00047,0.00322,
70,1,a,69,15:23:48,8978,124,200,200,903,4,38,200,3054,1600,34,0,IMG_0070.CR3,0.00048,0.00435,
71,1,a,70,15:24:01,9076,165,200,200,987,4,50,200,3242,1250,36,0,IMG_0071.CR3,0.00047,0.00296,
72,1,a,71,15:24:14,8970,96,200,200,892,3,38,200,2984,1600,39,0,IMG_0072.CR3,0.00048,0.00432,
73,1,a,72,15:24:27,9012,149,200,200,935,3,36,200,3247,1250,41,0,IMG_0073.CR3,0.00047,0.00309,
74,1,a,73,15:24:40,9004,142,200,200,924,3,35,200,3088,1600,43,0,IMG_0074.CR3,0.00048,0.00453,
75,1,a,74,15:24:53,9049,154,200,200,960,3,47,200,3325,1250,41,0,IMG_0075.CR3,0.00046,0.00310,
76,1,a,75,15:25:06,9000,111,200,200,916,3,41,200,3051,1600,42,0,IMG_0076.CR3,0.00048,0.00402,
77,1,a,76,15:25:19,9000,128,200,200,921,3,34,200,3249,1250,44,0,IMG_0077.CR3,0.00047,0.00254,
78,1,a,77,15:25:32,9019,136,200,200,936,4,35,200,3081,1600,47,0,IMG_0078.CR3,0.00048,0.00342,
79,1,a,78,15:25:45,9024,127,200,200,942,3,51,200,3263,1250,30,0,IMG_0079.CR3,0.00047,0.00238,
80,1,a,79,15:25:58,8981,115,200,200,902,3,35,200,3065,1600,43,0,IMG_0080.CR3,0.00048,0.00336,
81,1,a,80,15:26:11,9061,152,200,200,970,3,55,200,3202,1250,35,0,IMG_0081.CR3,0.00047,0.00247,
82,1,a,81,15:26:24,8973,98,200,200,886,3,39,200,3036,1600,48,0,IMG_0082.CR3,0.00048,0.00349,
83,1,a,82,15:26:37,9023,147,200,200,945,3,41,200,3191,1250,35,0,IMG_0083.CR3,0.00047,0.00246,
84,1,a,83,15:26:50,8996,127,200,200,911,3,38,200,3078,1600,46,0,IMG_0084.CR3,0.00048,0.00336,
85,1,a,84,15:27:03,9021,151,200,200,942,4,37,200,3225,1250,40,0,IMG_0085.CR3,0.00047,0.00245,
86,1,a,85,15:27:16,9012,138,200,200,932,4,36,200,3047,1600,43,0,IMG_0086.CR3,0.00048,0.00359,
87,1,a,86,15:27:29,9038,139,200,200,950,3,51,200,3196,1250,36,0,IMG_0087.CR3,0.00047,0.00261,
88,1,a,87,15:27:42,8974,109,200,200,892,3,38,200,3078,1600,44,0,IMG_0088.CR3,0.00048,0.00367,
89,1,a,88,15:27:55,9029,158,200,200,947,3,36,200,3217,1250,42,0,IMG_0089.CR3,0.00047,0.00255,
90,1,a,89,15:28:08,9012,139,200,200,931,3,37,200,3021,1600,43,0,IMG_0090.CR3,0.00048,0.00355,
91,1,a,90,15:28:21,9014,140,200,200,934,3,35,200,3247,1250,44,0,IMG_0091.CR3,0.00047,0.00253,
92,1,a,91,15:28:34,9003,129,200,200,919,3,37,200,3044,1600,46,0,IMG_0092.CR3,0.00048,0.00362,
93,1,a,92,15:28:47,9023,146,200,200,945,3,42,200,3227,1250,35,0,IMG_0093.CR3,0.00047,0.00263,
94,1,a,93,15:29:00,9002,128,200,200,918,4,38,200,3059,1600,45,0,IMG_0094.CR3,0.00048,0.00374,
95,1,a,94,15:29:13,9014,144,200,200,934,3,37,200,3219,1250,41,0,IMG_0095.CR3,0.00047,0.00272,
96,1,a,95,15:29:26,9010,144,200,200,927,3,40,200,3010,1600,42,0,IMG_0096.CR3,0.00048,0.00381,
97,1,a,96,15:29:39,9033,142,200,200,948,3,43,200,3204,1250,40,0,IMG_0097.CR3,0.00047,0.00263,
98,1,a,97,15:29:52,8982,118,200,200,900,3,37,200,3031,1600,44,0,IMG_0098.CR3,0.00048,0.00360,
99,1,a,98,15:30:05,9030,159,200,200,949,4,38,200,3169,1250,42,0,IMG_0099.CR3,0.00047,0.00248,
100,1,a,99,15:30:18,9014,136,200,200,932,3,37,200,3022,1600,43,0,IMG_0100.CR3,0.00048,0.00331,
101,1,a,100,15:30:31,9022,138,200,200,941,3,44,200,3151,1250,34,0,IMG_0101.CR3,0.00047,0.00225,
102,1,a,101,15:30:44,8985,119,200,200,906,4,35,200,3025,1600,43,0,IMG_0102.CR3,0.00048,0.00300,
103,1,a,102,15:30:57,9023,156,200,200,944,3,38,200,3179,1250,40,0,IMG_0103.CR3,0.00047,0.00204,
104,1,a,103,15:31:10,9000,146,200,200,923,3,36,200,3044,1600,39,0,IMG_0104.CR3,0.00048,0.00267,
