frame,wallclock,cycle_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,iso,iso_ms,file,medY,meanY,note
1,17:50:05,10922,60,200,200,830,4,45,200,1250,11,IMG_0002.CR3,0.00047,0.00101,
2,17:50:18,11015,147,200,200,933,3,36,200,1600,45,IMG_0003.CR3,0.00047,0.00100,
3,17:50:31,11015,140,200,200,931,3,42,200,1250,41,IMG_0004.CR3,0.00047,0.00126,
4,17:50:44,11004,134,200,200,924,3,42,200,1600,36,IMG_0005.CR3,0.00047,0.00096,
5,17:50:57,11050,143,200,200,959,3,53,200,1250,36,IMG_0006.CR3,0.00047,0.00122,
6,17:51:10,10969,104,200,200,880,3,42,200,1600,44,IMG_0007.CR3,0.00047,0.00093,
7,17:51:23,11031,155,200,200,938,3,49,200,1250,41,IMG_0008.CR3,0.00045,0.00033,
8,17:51:36,11016,133,200,200,930,4,54,200,1600,30,IMG_0009.CR3,0.00045,0.00031,
9,17:51:49,11021,124,200,200,931,3,48,200,1250,39,IMG_0010.CR3,0.00045,0.00033,
10,17:52:02,10980,113,200,200,896,3,42,200,1600,41,IMG_0011.CR3,0.00044,0.00030,
11,17:52:15,11130,153,200,200,951,3,68,200,1250,109,IMG_0012.CR3,0.00045,0.00032,
12,17:52:28,11039,172,200,200,956,3,42,200,1600,40,IMG_0013.CR3,0.00044,0.00030,
13,17:52:41,11014,143,200,200,934,3,39,200,1250,38,IMG_0014.CR3,0.00045,0.00032,
14,17:52:54,11002,142,200,200,912,3,47,200,1600,41,IMG_0015.CR3,0.00044,0.00030,
15,17:53:07,11039,154,200,200,948,3,56,200,1250,33,IMG_0016.CR3,0.00045,0.00032,
16,17:53:20,10995,130,200,200,912,3,43,200,1600,38,IMG_0017.CR3,0.00044,0.00030,
17,17:53:33,11035,140,200,200,947,3,52,200,1250,34,IMG_0018.CR3,0.00045,0.00031,
18,17:53:46,10979,113,200,200,895,3,43,200,1600,39,IMG_0019.CR3,0.00044,0.00029,
19,17:53:59,11030,156,200,200,942,3,51,200,1250,33,IMG_0020.CR3,0.00045,0.00031,
20,17:54:12,10991,129,200,200,903,3,45,200,1600,41,IMG_0021.CR3,0.00044,0.00029,
21,17:54:26,11060,161,200,200,960,4,63,200,1250,34,IMG_0022.CR3,0.00047,0.00082,
22,17:54:39,11003,107,200,200,911,4,60,200,1600,31,IMG_0023.CR3,0.00047,0.00068,
23,17:54:52,11008,110,200,200,916,3,55,200,1250,34,IMG_0024.CR3,0.00047,0.00083,
24,17:55:05,10978,116,200,200,897,3,43,200,1600,37,IMG_0025.CR3,0.00047,0.00067,
25,17:55:18,11077,157,200,200,1000,3,45,200,1250,31,IMG_0026.CR3,0.00047,0.00081,
26,17:55:31,10969,84,200,200,880,3,42,200,1600,45,IMG_0027.CR3,0.00047,0.00067,
27,17:55:44,11043,131,200,200,951,4,56,200,1250,33,IMG_0028.CR3,0.00047,0.00082,
28,17:55:57,10968,97,200,200,878,3,41,200,1600,46,IMG_0029.CR3,0.00047,0.00068,
29,17:56:10,11018,150,200,200,932,3,41,200,1250,42,IMG_0030.CR3,0.00047,0.00082,
30,17:56:23,11013,138,200,200,932,3,41,200,1600,39,IMG_0031.CR3,0.00047,0.00067,
31,17:56:36,11043,134,200,200,951,3,57,200,1250,34,IMG_0032.CR3,0.00047,0.00082,
32,17:56:49,10968,103,200,200,885,3,42,200,1600,39,IMG_0033.CR3,0.00047,0.00068,
33,17:57:02,11041,157,200,200,947,3,59,200,1250,34,IMG_0034.CR3,0.00047,0.00082,
34,17:57:15,10985,126,200,200,895,3,48,200,1600,39,IMG_0035.CR3,0.00047,0.00068,
35,17:57:28,11061,155,200,200,964,3,57,200,1250,38,IMG_0036.CR3,0.00047,0.00082,
36,17:57:41,10967,97,200,200,887,3,43,200,1600,34,IMG_0037.CR3,0.00047,0.00068,
37,17:57:54,11026,142,200,200,938,3,45,200,1250,42,IMG_0038.CR3,0.00047,0.00082,
38,17:58:07,11013,129,200,200,924,3,51,200,1600,35,IMG_0039.CR3,0.00046,0.00067,
39,17:58:20,11013,129,200,200,930,3,48,200,1250,35,IMG_0040.CR3,0.00047,0.00083,
40,17:58:33,11005,126,200,200,920,3,43,200,1600,39,IMG_0041.CR3,0.00047,0.00068,
41,17:58:46,11019,135,200,200,931,3,50,200,1250,34,IMG_0042.CR3,0.00047,0.00083,
42,17:58:59,10948,86,200,200,859,3,43,200,1600,41,IMG_0043.CR3,0.00047,0.00069,
43,17:59:12,11024,149,200,200,937,3,43,200,1250,43,IMG_0044.CR3,0.00047,0.00084,
44,17:59:25,11007,130,200,200,912,4,46,200,1600,48,IMG_0045.CR3,0.00047,0.00070,
45,17:59:38,11041,146,200,200,950,3,55,200,1250,33,IMG_0046.CR3,0.00047,0.00085,
46,17:59:51,10984,109,200,200,898,3,40,200,1600,40,IMG_0047.CR3,0.00046,0.00069,
47,18:00:04,11011,134,200,200,927,4,43,200,1250,39,IMG_0048.CR3,0.00047,0.00085,
48,18:00:17,10997,135,200,200,909,3,42,200,1600,41,IMG_0049.CR3,0.00047,0.00069,
49,18:00:30,11062,149,200,200,967,3,55,200,1250,36,IMG_0050.CR3,0.00047,0.00083,
50,18:01:22,50395,100,200,0,42394,4,0,0,,0,IMG_0050.CR3,-1.00000,-1.00000,通知なし
