frame,wallclock,cycle_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,iso,iso_ms,file,medY,meanY,note
1,18:12:00,10896,80,200,200,874,3,0,0,1250,21,,-1.00000,-1.00000,
2,18:12:13,10873,69,200,200,833,4,0,0,1600,39,,-1.00000,-1.00000,
3,18:12:26,10983,66,200,200,864,3,54,200,1250,30,IMG_0051.CR3,0.00044,0.00064,
4,18:12:39,10942,104,200,200,859,3,45,200,1600,33,IMG_0052.CR3,0.00045,0.00063,
5,18:12:52,11029,171,200,200,939,3,43,200,1250,46,IMG_0053.CR3,0.00035,0.00021,
6,18:13:05,11009,150,200,200,923,3,44,200,1600,40,IMG_0054.CR3,0.00041,0.00024,
7,18:13:18,11243,157,200,200,928,3,279,200,1250,33,IMG_0055.CR3,0.00035,0.00020,
8,18:13:31,11051,194,200,200,963,3,46,200,1600,39,IMG_0056.CR3,0.00042,0.00026,
9,18:13:44,11020,150,200,200,928,4,43,200,1250,47,IMG_0057.CR3,0.00036,0.00021,
10,18:13:57,10987,141,200,200,905,3,48,200,1600,31,IMG_0058.CR3,0.00041,0.00025,
11,18:14:10,11037,166,200,200,941,3,55,200,1250,38,IMG_0059.CR3,0.00036,0.00021,
12,18:14:23,11001,143,200,200,915,3,47,200,1600,36,IMG_0060.CR3,0.00043,0.00026,
13,18:14:36,11026,146,200,200,935,3,43,200,1250,44,IMG_0061.CR3,0.00036,0.00021,
14,18:14:49,10994,130,200,200,906,3,45,200,1600,39,IMG_0062.CR3,0.00043,0.00027,
15,18:15:02,11016,158,200,200,931,3,43,200,1250,39,IMG_0063.CR3,0.00037,0.00022,
16,18:15:15,11073,153,200,200,931,3,77,200,1600,62,IMG_0064.CR3,0.00042,0.00025,
17,18:15:28,10966,92,200,200,877,3,46,200,1250,41,IMG_0065.CR3,0.00037,0.00021,
18,18:15:41,10984,129,200,200,899,3,45,200,1600,37,IMG_0066.CR3,0.00037,0.00020,
19,18:15:54,11031,164,200,200,939,4,46,200,1250,44,IMG_0067.CR3,0.00037,0.00021,
20,18:16:07,10994,144,200,200,910,3,46,200,1600,36,IMG_0068.CR3,0.00043,0.00027,
21,18:16:20,11030,168,200,200,940,3,46,200,1250,42,IMG_0069.CR3,0.00038,0.00022,
22,18:16:33,11001,150,200,200,916,3,44,200,1600,38,IMG_0070.CR3,0.00042,0.00026,
23,18:16:47,11050,159,200,200,955,3,50,200,1250,42,IMG_0071.CR3,0.00039,0.00023,
24,18:16:59,10966,115,200,200,890,4,39,200,1600,35,IMG_0072.CR3,0.00043,0.00027,
25,18:17:13,11022,165,200,200,934,4,45,200,1250,42,IMG_0073.CR3,0.00039,0.00023,
26,18:17:26,11011,157,200,200,928,3,39,200,1600,40,IMG_0074.CR3,0.00043,0.00026,
27,18:17:39,11014,155,200,200,941,3,35,200,1250,37,IMG_0075.CR3,0.00041,0.00025,
28,18:17:52,11007,147,200,200,923,3,39,200,1600,42,IMG_0076.CR3,0.00043,0.00027,
29,18:18:05,11019,162,200,200,934,3,40,200,1250,44,IMG_0077.CR3,0.00039,0.00023,
30,18:18:18,10998,155,200,200,921,4,41,200,1600,35,IMG_0078.CR3,0.00043,0.00027,
31,18:18:31,11041,167,200,200,956,3,41,200,1250,42,IMG_0079.CR3,0.00040,0.00023,
32,18:18:44,11008,140,200,200,921,3,47,200,1600,37,IMG_0080.CR3,0.00037,0.00020,
33,18:18:57,11010,149,200,200,921,3,40,200,1250,46,IMG_0081.CR3,0.00039,0.00023,
34,18:19:10,10978,133,200,200,902,3,42,200,1600,32,IMG_0082.CR3,0.00038,0.00021,
35,18:19:23,11036,178,200,200,948,3,42,200,1250,43,IMG_0083.CR3,0.00040,0.00024,
36,18:19:36,11018,145,200,200,935,4,41,200,1600,40,IMG_0084.CR3,0.00039,0.00022,
37,18:19:49,11022,141,200,200,940,3,42,200,1250,38,IMG_0085.CR3,0.00040,0.00023,
38,18:20:02,10980,131,200,200,900,3,47,200,1600,30,IMG_0086.CR3,0.00037,0.00020,
39,18:20:15,11028,170,200,200,940,3,45,200,1250,39,IMG_0087.CR3,0.00040,0.00024,
40,18:20:28,10993,153,200,200,916,3,42,200,1600,34,IMG_0088.CR3,0.00038,0.00021,
41,18:20:41,11040,178,200,200,956,4,41,200,1250,40,IMG_0089.CR3,0.00041,0.00024,
42,18:20:54,11023,143,200,200,939,4,44,200,1600,38,IMG_0090.CR3,0.00041,0.00023,
43,18:21:07,10993,139,200,200,907,3,41,200,1250,43,IMG_0091.CR3,0.00041,0.00025,
44,18:21:20,11008,153,200,200,925,3,42,200,1600,40,IMG_0092.CR3,0.00038,0.00021,
45,18:21:33,11027,159,200,200,948,3,41,200,1250,37,IMG_0093.CR3,0.00040,0.00024,
46,18:21:46,11002,141,200,200,920,3,44,200,1600,36,IMG_0094.CR3,0.00038,0.00021,
47,18:21:59,11021,155,200,200,935,4,41,200,1250,41,IMG_0095.CR3,0.00041,0.00025,
48,18:22:12,10993,143,200,200,909,4,48,200,1600,33,IMG_0096.CR3,0.00040,0.00023,
49,18:22:25,11019,161,200,200,939,3,43,200,1250,35,IMG_0097.CR3,0.00041,0.00025,
50,18:22:38,11013,162,200,200,928,3,42,200,1600,40,IMG_0098.CR3,0.00039,0.00022,
51,18:22:51,11056,146,200,200,962,3,57,200,1250,35,IMG_0099.CR3,0.00040,0.00024,
52,18:23:04,10950,106,200,200,874,3,42,200,1600,32,IMG_0100.CR3,0.00044,0.00027,
53,18:23:17,11028,171,200,200,946,3,44,200,1250,35,IMG_0101.CR3,0.00042,0.00026,
54,18:23:30,11023,156,200,200,938,4,42,200,1600,40,IMG_0102.CR3,0.00039,0.00022,
55,18:23:43,11011,138,200,200,927,3,40,200,1250,41,IMG_0103.CR3,0.00043,0.00026,
56,18:23:56,11017,148,200,200,924,3,43,200,1600,49,IMG_0104.CR3,0.00041,0.00024,
57,18:24:09,11011,141,200,200,918,3,42,200,1250,48,IMG_0105.CR3,0.00042,0.00026,
58,18:24:22,10982,135,200,200,899,3,45,200,1600,36,IMG_0106.CR3,0.00038,0.00021,
59,18:24:35,11029,171,200,200,947,3,40,200,1250,41,IMG_0107.CR3,0.00042,0.00026,
60,18:24:48,11030,159,200,200,945,3,43,200,1600,39,IMG_0108.CR3,0.00041,0.00025,
61,18:25:01,11007,136,200,200,924,3,42,200,1250,39,IMG_0109.CR3,0.00042,0.00026,
62,18:25:14,10997,137,200,200,911,3,41,200,1600,43,IMG_0110.CR3,0.00039,0.00022,
63,18:25:27,11015,159,200,200,932,3,42,200,1250,38,IMG_0111.CR3,0.00042,0.00026,
64,18:25:40,11014,149,200,200,932,3,40,200,1600,40,IMG_0112.CR3,0.00041,0.00024,
65,18:25:53,11029,150,200,200,940,3,53,200,1250,34,IMG_0113.CR3,0.00042,0.00025,
66,18:26:06,10993,128,200,200,908,3,42,200,1600,42,IMG_0114.CR3,0.00042,0.00025,
67,18:26:19,11021,152,200,200,928,3,43,200,1250,47,IMG_0115.CR3,0.00042,0.00026,
68,18:26:32,11002,141,200,200,920,3,41,200,1600,38,IMG_0116.CR3,0.00040,0.00023,
69,18:26:45,11012,151,200,200,928,4,42,200,1250,38,IMG_0117.CR3,0.00042,0.00026,
70,18:26:58,11000,151,200,200,924,3,40,200,1600,35,IMG_0118.CR3,0.00040,0.00022,
71,18:27:11,11040,169,200,200,957,3,40,200,1250,41,IMG_0119.CR3,0.00042,0.00026,
72,18:27:24,10999,141,200,200,916,3,49,200,1600,32,IMG_0120.CR3,0.00041,0.00024,
73,18:27:37,11008,151,200,200,929,3,40,200,1250,38,IMG_0121.CR3,0.00042,0.00025,
74,18:27:50,11013,157,200,200,930,3,45,200,1600,35,IMG_0122.CR3,0.00041,0.00024,
75,18:28:03,11052,156,200,200,961,4,58,200,1250,30,IMG_0123.CR3,0.00043,0.00026,
76,18:28:16,10960,111,200,200,881,3,43,200,1600,34,IMG_0124.CR3,0.00042,0.00025,
77,18:28:29,11034,171,200,200,951,3,39,200,1250,43,IMG_0125.CR3,0.00042,0.00025,
78,18:28:42,11003,140,200,200,920,3,42,200,1600,39,IMG_0126.CR3,0.00040,0.00022,
79,18:28:55,11015,157,200,200,925,3,46,200,1250,42,IMG_0127.CR3,0.00043,0.00026,
80,18:29:08,11007,143,200,200,920,3,46,200,1600,39,IMG_0128.CR3,0.00042,0.00025,
81,18:29:21,11033,156,200,200,945,4,44,200,1250,42,IMG_0129.CR3,0.00043,0.00026,
82,18:29:34,11001,142,200,200,920,3,39,200,1600,39,IMG_0130.CR3,0.00041,0.00023,
83,18:29:47,11007,142,200,200,924,3,40,200,1250,42,IMG_0131.CR3,0.00043,0.00026,
84,18:30:00,11011,144,200,200,926,3,46,200,1600,38,IMG_0132.CR3,0.00041,0.00024,
