fetches,wallclock,fetch_ms,fetch_http,bytes,probe,probe_ms,note
1,17:02:53,47,200,3280,,0,
2,17:02:53,37,200,3227,,0,
3,17:02:53,42,200,3124,,0,
4,17:02:53,51,200,3270,,0,
5,17:02:53,39,200,3143,,0,
6,17:02:53,40,200,3344,,0,
7,17:02:53,49,200,3185,,0,
8,17:02:53,42,200,3342,,0,
9,17:02:53,41,200,3177,,0,
10,17:02:53,52,200,3368,,0,
11,17:02:53,41,200,3146,,0,
12,17:02:53,42,200,3328,,0,
13,17:02:53,52,200,3134,,0,
14,17:02:53,40,200,3343,,0,
15,17:02:53,41,200,3168,,0,
16,17:02:53,50,200,3322,,0,
17,17:02:53,41,200,3158,,0,
18,17:02:53,40,200,3354,,0,
19,17:02:54,55,200,3139,,0,
20,17:02:54,42,200,3368,,0,
21,17:02:54,41,200,3105,,0,
22,17:02:54,48,200,3353,,0,
23,17:02:54,41,200,3108,,0,
24,17:02:54,42,200,3329,,0,
25,17:02:54,47,200,3107,,0,
26,17:02:54,42,200,3291,,0,
27,17:02:54,43,200,3010,,0,
28,17:02:54,53,200,3272,,0,
29,17:02:54,42,200,3005,,0,
30,17:02:54,40,200,3261,,0,
31,17:02:54,47,200,3010,,0,
32,17:02:54,55,200,3247,,0,
33,17:02:54,50,200,3038,,0,
34,17:02:54,40,200,3139,,0,
35,17:02:54,46,200,2957,,0,
36,17:02:54,45,200,3179,,0,
37,17:02:54,43,200,2998,,0,
38,17:02:54,42,200,3242,,0,
39,17:02:54,41,200,3027,,0,
40,17:03:03,48,200,3157,OK,8919,
41,17:03:03,36,200,2991,,0,
42,17:03:03,51,200,3144,,0,
43,17:03:04,36,200,3032,,0,
44,17:03:04,43,200,3219,,0,
45,17:03:04,50,200,2978,,0,
46,17:03:04,42,200,3123,,0,
47,17:03:04,43,200,2884,,0,
48,17:03:04,48,200,3108,,0,
49,17:03:04,42,200,2960,,0,
50,17:03:04,41,200,3108,,0,
51,17:03:04,48,200,2988,,0,
52,17:03:04,42,200,3131,,0,
53,17:03:04,44,200,2994,,0,
54,17:03:04,48,200,3135,,0,
55,17:03:04,42,200,3046,,0,
56,17:03:04,42,200,3175,,0,
57,17:03:04,50,200,2986,,0,
58,17:03:04,46,200,3226,,0,
59,17:03:04,39,200,3058,,0,
60,17:03:04,48,200,3227,,0,
61,17:03:04,43,200,3041,,0,
62,17:03:04,41,200,3229,,0,
63,17:03:04,49,200,3028,,0,
64,17:03:04,41,200,3246,,0,
65,17:03:04,47,200,2999,,0,
66,17:03:05,44,200,3328,,0,
67,17:03:05,46,200,3106,,0,
68,17:03:05,42,200,3275,,0,
69,17:03:05,60,200,3054,,0,
70,17:03:05,43,200,3242,,0,
71,17:03:05,46,200,2984,,0,
72,17:03:05,53,200,3247,,0,
73,17:03:05,47,200,3088,,0,
74,17:03:05,54,200,3325,,0,
75,17:03:05,41,200,3051,,0,
76,17:03:05,40,200,3249,,0,
77,17:03:05,57,200,3081,,0,
78,17:03:05,46,200,3263,,0,
79,17:03:05,41,200,3065,,0,
80,17:03:14,51,200,3202,OK,8916,
81,17:03:14,40,200,3036,,0,
82,17:03:14,60,200,3191,,0,
83,17:03:14,38,200,3078,,0,
84,17:03:14,45,200,3225,,0,
85,17:03:14,46,200,3047,,0,
86,17:03:14,43,200,3196,,0,
87,17:03:14,40,200,3078,,0,
88,17:03:14,48,200,3217,,0,
89,17:03:15,45,200,3021,,0,
90,17:03:15,41,200,3247,,0,
91,17:03:15,49,200,3044,,0,
92,17:03:15,43,200,3227,,0,
93,17:03:15,43,200,3059,,0,
94,17:03:15,49,200,3219,,0,
95,17:03:15,40,200,3010,,0,
96,17:03:15,42,200,3204,,0,
97,17:03:15,49,200,3031,,0,
98,17:03:15,40,200,3169,,0,
99,17:03:15,41,200,3022,,0,
100,17:03:15,54,200,3151,,0,
101,17:03:15,40,200,3280,,0,
