frame,wallclock,cycle_ms,post_ms,notify_ms,polls,fetch_ms,http,bytes,medY,meanY,p90,sat,file,note
1,16:24:11,8848,56,848,3,0,0,0,-1.00000,-1.00000,-1.000,-1.0000,,
2,16:24:26,8925,80,853,3,40,200,2929,0.00036,0.00110,0.043,0.0000,IMG_0005.CR3,
3,16:24:41,8911,91,869,3,40,200,2707,0.00027,0.00100,0.043,0.0000,IMG_0006.CR3,
4,16:24:56,8925,102,885,4,39,200,2977,0.00032,0.00104,0.043,0.0000,IMG_0007.CR3,
5,16:25:11,8925,123,883,3,41,200,2965,0.00036,0.00102,0.043,0.0000,IMG_0008.CR3,
6,16:25:26,8956,139,917,3,38,200,2890,0.00036,0.00102,0.043,0.0000,IMG_0009.CR3,
7,16:25:41,8971,152,931,3,39,200,2903,0.00031,0.00095,0.039,0.0000,IMG_0010.CR3,
8,16:25:57,8983,167,945,3,37,200,2752,0.00029,0.00094,0.039,0.0000,IMG_0011.CR3,
9,16:26:12,8981,173,946,4,34,200,2754,0.00029,0.00092,0.039,0.0000,IMG_0012.CR3,
10,16:26:26,8878,67,840,3,36,200,2686,0.00042,0.00102,0.039,0.0000,IMG_0013.CR3,
11,16:26:41,8907,77,871,3,34,200,2751,0.00030,0.00090,0.039,0.0000,IMG_0014.CR3,
12,16:26:56,8910,92,872,3,37,200,2705,0.00044,0.00100,0.039,0.0000,IMG_0015.CR3,
13,16:27:11,8918,103,882,3,35,200,2912,0.00044,0.00099,0.039,0.0000,IMG_0016.CR3,
14,16:27:26,8930,110,894,3,35,200,2595,0.00024,0.00084,0.035,0.0000,IMG_0017.CR3,
15,16:27:41,8935,125,900,4,34,200,2934,0.00043,0.00097,0.039,0.0000,IMG_0018.CR3,
16,16:27:56,8959,148,920,3,39,200,2547,0.00027,0.00084,0.035,0.0000,IMG_0019.CR3,
17,16:28:12,9163,154,1117,3,46,200,2734,0.00044,0.00095,0.035,0.0000,IMG_0020.CR3,
18,16:28:27,9117,173,1082,3,34,200,2788,0.00044,0.00095,0.035,0.0000,IMG_0021.CR3,
19,16:28:42,9005,189,967,3,36,200,2965,0.00045,0.00094,0.035,0.0000,IMG_0022.CR3,
20,16:28:56,8888,72,851,3,36,200,2849,0.00044,0.00093,0.035,0.0000,IMG_0023.CR3,
21,16:29:11,8927,77,883,4,42,200,2798,0.00044,0.00091,0.035,0.0000,IMG_0024.CR3,
22,16:29:26,8922,98,885,3,35,200,2788,0.00037,0.00086,0.035,0.0000,IMG_0025.CR3,
23,16:29:41,8934,106,895,3,38,200,2778,0.00044,0.00093,0.035,0.0000,IMG_0026.CR3,
24,16:29:56,8941,122,904,3,37,200,2867,0.00044,0.00093,0.035,0.0000,IMG_0027.CR3,
25,16:30:11,8953,134,913,3,38,200,2901,0.00043,0.00094,0.035,0.0000,IMG_0028.CR3,
26,16:30:27,8981,149,944,3,36,200,2840,0.00044,0.00096,0.039,0.0000,IMG_0029.CR3,
27,16:30:42,8999,164,965,4,34,200,2784,0.00044,0.00095,0.039,0.0000,IMG_0030.CR3,
28,16:30:57,9007,176,970,3,36,200,2838,0.00044,0.00095,0.039,0.0000,IMG_0031.CR3,
29,16:31:11,8877,70,839,3,37,200,2808,0.00044,0.00093,0.035,0.0000,IMG_0032.CR3,
30,16:31:26,8886,81,848,3,36,200,2893,0.00044,0.00091,0.035,0.0000,IMG_0033.CR3,
31,16:31:41,8918,92,882,3,36,200,2767,0.00044,0.00090,0.035,0.0000,IMG_0034.CR3,
32,16:31:56,8956,100,910,3,45,200,3006,0.00045,0.00092,0.035,0.0000,IMG_0035.CR3,
33,16:32:11,8951,114,915,4,36,200,2924,0.00044,0.00090,0.035,0.0000,IMG_0036.CR3,
34,16:32:26,8950,128,912,3,37,200,2886,0.00044,0.00090,0.035,0.0000,IMG_0037.CR3,
35,16:32:42,8977,143,940,3,36,200,2829,0.00044,0.00088,0.035,0.0000,IMG_0038.CR3,
36,16:32:57,8998,162,960,3,37,200,2899,0.00044,0.00088,0.035,0.0000,IMG_0039.CR3,
37,16:33:12,9002,181,965,3,36,200,2903,0.00044,0.00086,0.035,0.0000,IMG_0040.CR3,
38,16:33:27,9007,191,970,3,36,200,2860,0.00044,0.00087,0.035,0.0000,IMG_0041.CR3,
39,16:33:41,8887,71,852,4,34,200,2924,0.00044,0.00087,0.035,0.0000,IMG_0042.CR3,
40,16:33:56,8932,86,887,3,44,200,2902,0.00044,0.00086,0.035,0.0000,IMG_0043.CR3,
41,16:34:11,8946,102,902,3,41,200,2925,0.00044,0.00088,0.035,0.0000,IMG_0044.CR3,
42,16:34:26,8934,108,896,3,37,200,2907,0.00044,0.00089,0.035,0.0000,IMG_0045.CR3,
43,16:34:41,8940,123,904,3,36,200,2890,0.00044,0.00091,0.035,0.0000,IMG_0046.CR3,
44,16:34:56,8957,147,921,3,36,200,2934,0.00044,0.00089,0.035,0.0000,IMG_0047.CR3,
45,16:35:12,9004,151,959,4,44,200,2924,0.00044,0.00088,0.035,0.0000,IMG_0048.CR3,
46,16:35:27,9006,171,968,3,36,200,2904,0.00044,0.00089,0.035,0.0000,IMG_0049.CR3,
47,16:35:42,9011,184,972,3,38,200,2916,0.00044,0.00089,0.035,0.0000,IMG_0050.CR3,
48,16:35:56,8885,71,845,3,39,200,2880,0.00044,0.00089,0.035,0.0000,IMG_0051.CR3,
49,16:36:11,8908,78,873,3,34,200,2980,0.00045,0.00088,0.035,0.0000,IMG_0052.CR3,
50,16:36:26,8920,94,883,3,36,200,2878,0.00045,0.00088,0.035,0.0000,IMG_0053.CR3,
51,16:36:41,8942,102,901,4,38,200,2973,0.00045,0.00089,0.035,0.0000,IMG_0054.CR3,
52,16:36:56,8945,118,909,3,35,200,2945,0.00044,0.00084,0.031,0.0000,IMG_0055.CR3,
53,16:37:12,8974,132,934,3,35,200,2921,0.00044,0.00082,0.031,0.0000,IMG_0056.CR3,
54,16:37:27,8982,146,944,3,37,200,2959,0.00045,0.00081,0.031,0.0000,IMG_0057.CR3,
55,16:37:42,8984,165,948,3,35,200,2959,0.00044,0.00080,0.031,0.0000,IMG_0058.CR3,
56,16:37:57,9008,178,969,3,36,200,2930,0.00044,0.00081,0.031,0.0000,IMG_0059.CR3,
57,16:38:11,8880,65,843,3,35,200,2938,0.00044,0.00080,0.031,0.0000,IMG_0060.CR3,
58,16:38:26,8888,76,850,4,37,200,2944,0.00044,0.00081,0.031,0.0000,IMG_0061.CR3,
59,16:38:41,8941,91,896,3,43,200,2889,0.00045,0.00082,0.031,0.0000,IMG_0062.CR3,
60,16:38:56,8945,101,901,3,43,200,2918,0.00045,0.00083,0.031,0.0000,IMG_0063.CR3,
61,16:39:11,8933,112,896,3,36,200,2951,0.00044,0.00083,0.031,0.0000,IMG_0064.CR3,
62,16:39:26,8951,127,912,3,37,200,2925,0.00044,0.00082,0.031,0.0000,IMG_0065.CR3,
63,16:39:42,8977,141,939,3,37,200,2903,0.00044,0.00081,0.031,0.0000,IMG_0066.CR3,
64,16:39:57,9006,161,963,4,42,200,2934,0.00045,0.00086,0.031,0.0000,IMG_0067.CR3,
65,16:40:12,9005,179,965,3,38,200,2947,0.00045,0.00083,0.031,0.0000,IMG_0068.CR3,
66,16:40:27,9001,188,965,3,34,200,2998,0.00045,0.00081,0.031,0.0000,IMG_0069.CR3,
67,16:40:41,8916,76,869,3,44,200,2942,0.00044,0.00084,0.031,0.0000,IMG_0070.CR3,
68,16:40:56,8913,91,876,3,35,200,2972,0.00044,0.00082,0.031,0.0000,IMG_0071.CR3,
69,16:41:11,8921,100,885,3,36,200,2993,0.00045,0.00083,0.031,0.0000,IMG_0072.CR3,
70,16:41:26,8936,106,898,4,36,200,3011,0.00044,0.00082,0.031,0.0000,IMG_0073.CR3,
71,16:41:41,8940,121,902,3,36,200,2971,0.00044,0.00084,0.031,0.0000,IMG_0074.CR3,
72,16:41:57,8972,143,935,3,35,200,2956,0.00045,0.00083,0.031,0.0000,IMG_0075.CR3,
73,16:42:12,9002,151,958,3,43,200,2942,0.00044,0.00082,0.031,0.0000,IMG_0076.CR3,
74,16:42:27,8993,169,957,3,35,200,2918,0.00045,0.00080,0.031,0.0000,IMG_0077.CR3,
75,16:42:42,9003,185,963,3,37,200,2985,0.00044,0.00079,0.031,0.0000,IMG_0078.CR3,
76,16:42:56,8891,64,854,4,35,200,2950,0.00045,0.00078,0.031,0.0000,IMG_0079.CR3,
77,16:43:11,8907,73,870,3,35,200,2975,0.00045,0.00082,0.031,0.0000,IMG_0080.CR3,
78,16:43:26,8919,96,883,3,35,200,2967,0.00045,0.00079,0.031,0.0000,IMG_0081.CR3,
79,16:43:41,8926,107,889,3,36,200,2958,0.00045,0.00078,0.031,0.0000,IMG_0082.CR3,
80,16:43:57,8953,116,911,3,42,200,2959,0.00045,0.00080,0.031,0.0000,IMG_0083.CR3,
81,16:44:12,8984,130,935,3,48,200,2971,0.00045,0.00081,0.031,0.0000,IMG_0084.CR3,
82,16:44:27,8994,144,951,3,42,200,2978,0.00045,0.00081,0.031,0.0000,IMG_0085.CR3,
83,16:44:42,8997,166,957,4,38,200,2974,0.00045,0.00082,0.031,0.0000,IMG_0086.CR3,
84,16:44:57,9000,175,960,3,37,200,2956,0.00045,0.00084,0.031,0.0000,IMG_0087.CR3,
85,16:45:11,8893,73,852,3,39,200,3024,0.00045,0.00085,0.031,0.0000,IMG_0088.CR3,
86,16:45:26,8903,72,864,3,35,200,2968,0.00045,0.00084,0.031,0.0000,IMG_0089.CR3,
87,16:45:41,8913,93,875,3,37,200,3027,0.00045,0.00085,0.031,0.0000,IMG_0090.CR3,
88,16:45:56,8929,97,892,3,35,200,2993,0.00045,0.00084,0.031,0.0000,IMG_0091.CR3,
89,16:46:11,8932,112,894,4,36,200,2990,0.00045,0.00085,0.031,0.0000,IMG_0092.CR3,
90,16:46:27,8957,124,918,3,38,200,3041,0.00045,0.00082,0.031,0.0000,IMG_0093.CR3,
91,16:46:42,8988,139,945,3,41,200,3028,0.00045,0.00083,0.031,0.0000,IMG_0094.CR3,
92,16:46:57,8992,153,957,3,34,200,2994,0.00045,0.00083,0.031,0.0000,IMG_0095.CR3,
93,16:47:12,9005,172,967,3,37,200,2995,0.00045,0.00082,0.031,0.0000,IMG_0096.CR3,
94,16:47:27,9019,188,967,3,37,200,3015,0.00045,0.00082,0.031,0.0000,IMG_0097.CR3,
95,16:47:41,8914,69,867,3,44,200,2987,0.00045,0.00081,0.031,0.0000,IMG_0098.CR3,
96,16:47:56,8912,76,876,4,35,200,2998,0.00045,0.00082,0.031,0.0000,IMG_0099.CR3,
97,16:48:11,8920,98,883,3,36,200,2998,0.00045,0.00082,0.031,0.0000,IMG_0100.CR3,
98,16:48:26,8935,109,900,3,34,200,2998,0.00045,0.00081,0.031,0.0000,IMG_0101.CR3,
99,16:48:42,8948,127,910,3,37,200,2971,0.00045,0.00079,0.031,0.0000,IMG_0102.CR3,
100,16:48:57,8980,132,936,3,43,200,2977,0.00046,0.00079,0.031,0.0000,IMG_0103.CR3,
101,16:49:12,8996,148,949,3,46,200,2979,0.00045,0.00080,0.031,0.0000,IMG_0104.CR3,
102,16:49:27,8998,167,960,4,34,200,3033,0.00045,0.00079,0.031,0.0000,IMG_0105.CR3,
103,16:49:42,9015,183,976,4,38,200,2963,0.00046,0.00081,0.031,0.0000,IMG_0106.CR3,
104,16:49:56,8894,67,855,3,37,200,3028,0.00045,0.00080,0.031,0.0000,IMG_0107.CR3,
105,16:50:11,8905,78,867,3,35,200,2975,0.00046,0.00078,0.031,0.0000,IMG_0108.CR3,
106,16:50:26,8917,86,880,3,36,200,3052,0.00045,0.00079,0.031,0.0000,IMG_0109.CR3,
107,16:50:41,8919,106,882,3,36,200,2958,0.00046,0.00081,0.031,0.0000,IMG_0110.CR3,
108,16:50:56,8936,119,896,3,39,200,2982,0.00046,0.00083,0.031,0.0000,IMG_0111.CR3,
109,16:51:12,8991,127,940,4,47,200,2995,0.00046,0.00080,0.031,0.0000,IMG_0112.CR3,
110,16:51:27,8992,142,948,3,42,200,2967,0.00045,0.00078,0.031,0.0000,IMG_0113.CR3,
111,16:51:42,8986,161,947,3,37,200,2959,0.00046,0.00081,0.031,0.0000,IMG_0114.CR3,
112,16:51:57,9007,170,966,3,36,200,2982,0.00045,0.00078,0.031,0.0000,IMG_0115.CR3,
113,16:52:12,9023,191,981,3,39,200,2985,0.00046,0.00078,0.031,0.0000,IMG_0116.CR3,
114,16:52:26,8902,77,864,3,36,200,2961,0.00046,0.00079,0.031,0.0000,IMG_0117.CR3,
115,16:52:41,8916,81,877,3,37,200,2986,0.00046,0.00081,0.031,0.0000,IMG_0118.CR3,
116,16:52:56,8920,93,882,4,36,200,3032,0.00045,0.00079,0.031,0.0000,IMG_0119.CR3,
117,16:53:12,8961,108,918,3,42,200,2973,0.00045,0.00077,0.031,0.0000,IMG_0120.CR3,
118,16:53:27,8960,133,924,3,35,200,3015,0.00045,0.00076,0.027,0.0000,IMG_0121.CR3,
119,16:53:42,8962,136,922,3,39,200,2989,0.00046,0.00075,0.027,0.0000,IMG_0122.CR3,
120,16:53:57,8991,150,954,3,36,200,2953,0.00045,0.00075,0.027,0.0000,IMG_0123.CR3,
121,16:54:12,8986,170,949,3,36,200,2939,0.00046,0.00076,0.027,0.0000,IMG_0124.CR3,
122,16:54:27,9004,186,966,4,36,200,2944,0.00045,0.00075,0.027,0.0000,IMG_0125.CR3,
123,16:54:41,8899,67,863,3,35,200,2971,0.00046,0.00075,0.027,0.0000,IMG_0126.CR3,
124,16:54:56,8906,72,870,3,36,200,3011,0.00045,0.00075,0.027,0.0000,IMG_0127.CR3,
125,16:55:11,8919,98,881,3,37,200,2981,0.00046,0.00077,0.027,0.0000,IMG_0128.CR3,
126,16:55:26,8917,101,879,3,37,200,2991,0.00046,0.00075,0.027,0.0000,IMG_0129.CR3,
127,16:55:42,8953,114,915,3,36,200,2940,0.00046,0.00073,0.027,0.0000,IMG_0130.CR3,
128,16:55:57,8995,130,943,3,51,200,2977,0.00046,0.00074,0.027,0.0000,IMG_0131.CR3,
129,16:56:12,8982,144,945,4,36,200,2940,0.00046,0.00073,0.027,0.0000,IMG_0132.CR3,
130,16:56:27,8993,167,956,3,36,200,2951,0.00046,0.00074,0.027,0.0000,IMG_0133.CR3,
131,16:56:42,9007,177,968,3,38,200,2936,0.00046,0.00073,0.027,0.0000,IMG_0134.CR3,
132,16:56:56,8912,67,861,3,47,200,2991,0.00046,0.00071,0.027,0.0000,IMG_0135.CR3,
133,16:57:11,8897,75,859,3,37,200,2968,0.00046,0.00073,0.027,0.0000,IMG_0136.CR3,
134,16:57:26,8908,91,870,3,37,200,2922,0.00046,0.00072,0.027,0.0000,IMG_0137.CR3,
135,16:57:42,8925,105,887,4,37,200,2994,0.00046,0.00072,0.027,0.0000,IMG_0138.CR3,
136,16:57:57,8961,117,915,3,45,200,2982,0.00046,0.00071,0.027,0.0000,IMG_0139.CR3,
137,16:58:12,8978,124,933,3,44,200,2965,0.00046,0.00072,0.027,0.0000,IMG_0140.CR3,
138,16:58:27,8965,147,926,3,38,200,2925,0.00046,0.00071,0.027,0.0000,IMG_0141.CR3,
139,16:58:42,8982,162,940,3,41,200,2934,0.00045,0.00070,0.027,0.0000,IMG_0142.CR3,
140,16:58:57,8989,173,950,3,36,200,2948,0.00046,0.00069,0.027,0.0000,IMG_0143.CR3,
141,16:59:12,9013,190,974,3,38,200,2925,0.00046,0.00069,0.027,0.0000,IMG_0144.CR3,
142,16:59:27,8928,63,879,4,48,200,2962,0.00046,0.00069,0.027,0.0000,IMG_0145.CR3,
143,16:59:41,8914,88,872,3,40,200,3014,0.00046,0.00068,0.024,0.0000,IMG_0146.CR3,
144,16:59:56,8916,91,881,3,34,200,2931,0.00046,0.00069,0.027,0.0000,IMG_0147.CR3,
145,17:00:12,8959,107,912,3,46,200,2939,0.00046,0.00069,0.027,0.0000,IMG_0148.CR3,
146,17:00:27,8982,120,932,3,48,200,2987,0.00045,0.00067,0.024,0.0000,IMG_0149.CR3,
147,17:00:42,8969,133,929,3,38,200,2968,0.00046,0.00068,0.024,0.0000,IMG_0150.CR3,
148,17:00:57,8987,148,947,3,38,200,2948,0.00046,0.00067,0.024,0.0000,IMG_0151.CR3,
149,17:01:12,8995,169,956,4,38,200,2992,0.00046,0.00067,0.024,0.0000,IMG_0152.CR3,
150,17:01:27,9014,185,974,3,38,200,2946,0.00046,0.00067,0.024,0.0000,IMG_0153.CR3,
151,17:01:41,8910,66,866,3,43,200,2997,0.00046,0.00066,0.024,0.0000,IMG_0154.CR3,
152,17:01:56,8909,70,868,3,40,200,2959,0.00046,0.00066,0.024,0.0000,IMG_0155.CR3,
153,17:02:11,8909,97,874,3,34,200,2956,0.00045,0.00067,0.024,0.0000,IMG_0156.CR3,
154,17:02:27,8948,99,904,3,42,200,2906,0.00046,0.00067,0.024,0.0000,IMG_0157.CR3,
155,17:02:42,8989,113,940,4,48,200,2967,0.00045,0.00066,0.024,0.0000,IMG_0158.CR3,
156,17:02:57,8956,128,919,3,36,200,2933,0.00046,0.00065,0.024,0.0000,IMG_0159.CR3,
157,17:03:12,8974,141,938,3,36,200,2935,0.00046,0.00066,0.024,0.0000,IMG_0160.CR3,
158,17:03:27,8997,166,959,3,37,200,2949,0.00046,0.00067,0.024,0.0000,IMG_0161.CR3,
159,17:03:42,9009,174,973,3,35,200,2969,0.00046,0.00068,0.024,0.0000,IMG_0162.CR3,
160,17:03:57,9021,190,985,3,35,200,3002,0.00045,0.00067,0.027,0.0000,IMG_0163.CR3,
161,17:04:11,8904,80,864,3,37,200,2998,0.00046,0.00068,0.024,0.0000,IMG_0164.CR3,
162,17:04:27,8917,85,877,4,38,200,2912,0.00046,0.00067,0.024,0.0000,IMG_0165.CR3,
163,17:04:42,8955,104,904,3,50,200,2972,0.00046,0.00067,0.024,0.0000,IMG_0166.CR3,
164,17:04:57,8964,115,914,3,48,200,2922,0.00046,0.00067,0.024,0.0000,IMG_0167.CR3,
165,17:05:12,8953,131,913,3,39,200,2941,0.00046,0.00068,0.024,0.0000,IMG_0168.CR3,
166,17:05:27,8965,143,923,3,40,200,2961,0.00046,0.00067,0.024,0.0000,IMG_0169.CR3,
167,17:05:42,8998,151,953,3,44,200,2938,0.00046,0.00067,0.024,0.0000,IMG_0170.CR3,
168,17:05:57,9015,171,972,3,43,200,2976,0.00046,0.00067,0.024,0.0000,IMG_0171.CR3,
169,17:06:12,9030,185,988,4,41,200,2906,0.00046,0.00068,0.024,0.0000,IMG_0172.CR3,
