frame,wallclock,cycle_ms,post_ms,notify_ms,polls,fetch_ms,http,bytes,medY,meanY,p90,sat,file,note
1,13:12:10,9025,73,917,2,46,200,3002,0.00053,0.00740,0.157,0.0000,IMG_0788.CR3,
2,13:12:26,9952,1019,1900,1,49,200,3051,0.00053,0.00780,0.161,0.0000,IMG_0789.CR3,
3,13:12:41,9734,908,1693,3,39,200,3139,0.00053,0.00833,0.165,0.0000,IMG_0790.CR3,
4,13:12:57,10681,1859,2641,4,39,200,3054,0.00053,0.00782,0.161,0.0000,IMG_0791.CR3,
5,13:13:11,10058,1190,2004,3,53,200,3060,0.00053,0.00818,0.165,0.0000,IMG_0792.CR3,
6,13:13:26,9800,940,1749,3,49,200,3057,0.00053,0.00837,0.165,0.0000,IMG_0793.CR3,
7,13:13:41,9897,959,1855,1,41,200,3124,0.00053,0.00879,0.173,0.0000,IMG_0794.CR3,
8,13:13:56,9851,975,1804,1,46,200,3098,0.00053,0.00847,0.169,0.0000,IMG_0795.CR3,
9,13:14:11,9857,988,1798,3,57,200,3054,0.00053,0.00785,0.161,0.0000,IMG_0796.CR3,
10,13:14:26,9847,1004,1800,3,46,200,2933,0.00052,0.00718,0.153,0.0000,IMG_0797.CR3,
11,13:14:41,10395,1539,2346,2,48,200,2949,0.00052,0.00693,0.149,0.0000,IMG_0798.CR3,
12,13:14:56,9863,1024,1822,4,39,200,2892,0.00052,0.00631,0.141,0.0000,IMG_0799.CR3,
13,13:15:11,9913,903,1859,1,51,200,2870,0.00052,0.00625,0.141,0.0000,IMG_0800.CR3,
14,13:15:26,9752,928,1710,3,41,200,2955,0.00052,0.00683,0.149,0.0000,IMG_0801.CR3,
15,13:15:41,9902,943,1861,1,39,200,3026,0.00053,0.00728,0.153,0.0000,IMG_0802.CR3,
16,13:15:56,9863,948,1815,1,47,200,2977,0.00052,0.00736,0.153,0.0000,IMG_0803.CR3,
17,13:16:10,9017,161,966,2,49,200,2998,0.00053,0.00728,0.153,0.0000,IMG_0804.CR3,
