frame,wallclock,cycle_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,iso,iso_ms,file,medY,meanY,note
1,17:06:15,808,152,200,200,644,3,0,0,1250,13,IMG_0453.CR3,-1.00000,-1.00000,
2,17:06:18,848,92,200,200,638,3,47,200,1600,36,IMG_0454.CR3,0.00017,0.00003,
3,17:06:21,903,177,200,200,645,3,43,200,1250,36,IMG_0455.CR3,0.00017,0.00003,
4,17:06:24,869,159,200,200,631,3,42,200,1600,36,IMG_0456.CR3,0.00018,0.00004,
5,17:06:26,807,76,200,200,638,4,51,200,1250,42,IMG_0457.CR3,0.00017,0.00003,
6,17:06:29,811,81,200,200,650,3,45,200,1600,36,IMG_0458.CR3,0.00018,0.00004,
7,17:06:32,790,63,200,200,645,3,45,200,1250,36,IMG_0459.CR3,0.00017,0.00003,
8,17:06:35,832,79,200,200,664,4,45,200,1600,43,IMG_0460.CR3,0.00017,0.00004,
9,17:06:38,917,179,200,200,650,4,46,200,1250,42,IMG_0461.CR3,0.00017,0.00003,
10,17:06:41,802,83,200,200,630,3,48,200,1600,41,IMG_0462.CR3,0.00017,0.00004,
11,17:06:43,802,83,200,200,633,3,45,200,1250,39,IMG_0463.CR3,0.00018,0.00004,
12,17:06:46,820,86,200,200,650,4,45,200,1600,40,IMG_0464.CR3,0.00018,0.00004,
13,17:06:49,834,81,200,200,661,3,45,200,1250,45,IMG_0465.CR3,0.00017,0.00003,
14,17:06:52,913,174,200,200,649,3,51,200,1600,39,IMG_0466.CR3,0.00018,0.00004,
15,17:06:55,791,85,200,200,626,3,41,200,1250,38,IMG_0467.CR3,0.00017,0.00003,
16,17:06:58,808,82,200,200,641,3,45,200,1600,38,IMG_0468.CR3,0.00017,0.00004,
17,17:07:00,825,79,200,200,661,3,41,200,1250,43,IMG_0469.CR3,0.00017,0.00003,
18,17:07:03,908,190,200,200,634,3,44,200,1600,41,IMG_0470.CR3,0.00018,0.00004,
19,17:07:06,805,92,200,200,633,3,43,200,1250,36,IMG_0471.CR3,0.00017,0.00003,
20,17:07:09,779,72,200,200,629,3,37,200,1600,40,IMG_0472.CR3,0.00018,0.00005,
21,17:07:12,839,98,200,200,652,3,47,200,1250,42,IMG_0473.CR3,0.00017,0.00003,
22,17:07:15,817,89,200,200,651,3,37,200,1600,39,IMG_0474.CR3,0.00018,0.00005,
23,17:07:17,804,69,200,200,646,3,48,200,1250,41,IMG_0475.CR3,0.00017,0.00004,
24,17:07:20,808,91,200,200,626,3,51,200,1600,40,IMG_0476.CR3,0.00018,0.00004,
25,17:07:23,800,87,200,200,624,3,47,200,1250,41,IMG_0477.CR3,0.00018,0.00004,
26,17:07:26,809,78,200,200,641,4,47,200,1600,42,IMG_0478.CR3,0.00018,0.00005,
27,17:07:29,892,149,200,200,653,3,52,200,1250,38,IMG_0479.CR3,0.00017,0.00004,
28,17:07:31,804,86,200,200,633,3,45,200,1600,39,IMG_0480.CR3,0.00018,0.00005,
29,17:07:34,803,83,200,200,634,3,47,200,1250,36,IMG_0481.CR3,0.00017,0.00003,
30,17:07:37,815,74,200,200,652,4,47,200,1600,42,IMG_0482.CR3,0.00018,0.00005,
31,17:07:40,880,148,200,200,641,4,39,200,1250,50,IMG_0483.CR3,0.00017,0.00003,
32,17:07:43,818,85,200,200,642,3,48,200,1600,42,IMG_0484.CR3,0.00018,0.00004,
