frame,wallclock,cycle_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,iso,iso_ms,file,medY,meanY,note
1,06:53:51,10979,184,200,200,962,4,0,0,1250,16,IMG_0007.CR3,-1.00000,-1.00000,
2,06:54:04,10962,75,200,200,872,3,40,200,1600,27,IMG_0008.CR3,0.00045,0.00111,
3,06:54:17,11024,134,200,200,932,3,52,200,1250,38,IMG_0009.CR3,0.00041,0.00118,
4,06:54:30,10967,122,200,200,895,3,38,200,1600,31,IMG_0010.CR3,0.00044,0.00175,
5,06:54:43,11033,167,200,200,956,3,38,200,1250,38,IMG_0011.CR3,0.00046,0.00140,
6,06:54:56,10994,146,200,200,916,3,43,200,1600,34,IMG_0012.CR3,0.00043,0.00209,
7,06:55:09,11024,164,200,200,946,4,38,200,1250,39,IMG_0013.CR3,0.00042,0.00155,
8,06:55:22,11045,154,200,200,960,4,49,200,1600,34,IMG_0014.CR3,0.00043,0.00213,
9,06:55:35,10994,115,200,200,915,3,40,200,1250,38,IMG_0015.CR3,0.00038,0.00150,
10,06:55:48,10991,130,200,200,910,3,40,200,1600,40,IMG_0016.CR3,0.00044,0.00231,
11,06:56:01,11026,154,200,200,944,3,38,200,1250,42,IMG_0017.CR3,0.00041,0.00183,
12,06:56:14,11049,140,200,200,930,3,73,200,1600,44,IMG_0018.CR3,0.00044,0.00260,
13,06:56:27,11006,101,200,200,917,4,53,200,1250,34,IMG_0019.CR3,0.00043,0.00181,
14,06:56:40,10970,106,200,200,889,4,38,200,1600,41,IMG_0020.CR3,0.00044,0.00233,
15,06:56:53,11025,152,200,200,942,3,41,200,1250,39,IMG_0021.CR3,0.00047,0.00157,
16,06:57:06,11002,133,200,200,918,3,39,200,1600,42,IMG_0022.CR3,0.00044,0.00195,
17,06:57:19,11030,148,200,200,946,3,40,200,1250,41,IMG_0023.CR3,0.00042,0.00138,
18,06:57:32,11000,134,200,200,910,3,52,200,1600,34,IMG_0024.CR3,0.00045,0.00174,
19,06:57:45,11014,150,200,200,931,4,36,200,1250,45,IMG_0025.CR3,0.00042,0.00129,
20,06:57:58,10997,143,200,200,910,4,47,200,1600,37,IMG_0026.CR3,0.00044,0.00184,
21,06:58:11,11036,153,200,200,951,3,45,200,1250,37,IMG_0027.CR3,0.00040,0.00132,
22,06:58:24,11001,138,200,200,920,3,37,200,1600,42,IMG_0028.CR3,0.00045,0.00174,
23,06:58:37,11024,151,200,200,945,3,46,200,1250,31,IMG_0029.CR3,0.00041,0.00118,
24,06:58:50,10975,125,200,200,904,3,34,200,1600,36,IMG_0030.CR3,0.00045,0.00161,
25,06:59:03,11029,166,200,200,952,4,35,200,1250,40,IMG_0031.CR3,0.00043,0.00116,
26,06:59:16,11025,145,200,200,947,3,34,200,1600,42,IMG_0032.CR3,0.00044,0.00171,
27,06:59:29,11013,132,200,200,937,3,35,200,1250,40,IMG_0033.CR3,0.00041,0.00146,
28,06:59:42,10984,131,200,200,914,3,35,200,1600,33,IMG_0034.CR3,0.00045,0.00233,
29,06:59:55,11036,164,200,200,959,3,35,200,1250,42,IMG_0035.CR3,0.00041,0.00179,
30,07:00:08,10999,137,200,200,923,3,35,200,1600,39,IMG_0036.CR3,0.00045,0.00267,
31,07:00:21,11038,157,200,200,962,4,40,200,1250,34,IMG_0037.CR3,0.00043,0.00194,
32,07:00:34,10988,134,200,200,908,3,37,200,1600,42,IMG_0038.CR3,0.00045,0.00270,
33,07:00:47,11015,154,200,200,942,3,36,200,1250,35,IMG_0039.CR3,0.00043,0.00196,
34,07:01:00,10997,151,200,200,928,4,32,200,1600,34,IMG_0040.CR3,0.00046,0.00268,
35,07:01:13,11106,166,200,200,961,3,38,200,1250,31,IMG_0041.CR3,0.00043,0.00190,
36,07:01:26,10947,68,200,200,873,3,34,200,1600,38,IMG_0042.CR3,0.00046,0.00262,
37,07:01:39,11024,132,200,200,942,4,52,200,1250,28,IMG_0043.CR3,0.00043,0.00179,
38,07:01:52,11000,120,200,200,918,3,46,200,1600,33,IMG_0044.CR3,0.00046,0.00227,
39,07:02:05,11000,132,200,200,920,3,40,200,1250,37,IMG_0045.CR3,0.00043,0.00151,
40,07:02:18,11034,150,200,200,954,4,44,200,1600,34,IMG_0046.CR3,0.00045,0.00203,
41,07:02:31,11135,139,200,200,935,3,44,200,1250,34,IMG_0047.CR3,0.00044,0.00142,
42,07:02:44,10992,144,200,200,920,3,35,200,1600,34,IMG_0048.CR3,0.00045,0.00187,
43,07:02:57,11034,161,200,200,954,4,35,200,1250,44,IMG_0049.CR3,0.00043,0.00137,
44,07:03:10,11006,140,200,200,931,3,38,200,1600,35,IMG_0050.CR3,0.00045,0.00195,
45,07:03:23,11036,138,200,200,952,3,45,200,1250,37,IMG_0051.CR3,0.00044,0.00149,
46,07:03:36,10970,116,200,200,899,3,36,200,1600,33,IMG_0052.CR3,0.00046,0.00198,
47,07:03:49,11025,162,200,200,945,3,37,200,1250,42,IMG_0053.CR3,0.00043,0.00141,
48,07:04:02,11022,150,200,200,924,3,37,200,1600,35,IMG_0054.CR3,0.00045,0.00194,
49,07:04:15,11035,137,200,200,949,3,48,200,1250,36,IMG_0055.CR3,0.00044,0.00136,
50,07:04:28,10979,109,200,200,902,3,35,200,1600,38,IMG_0056.CR3,0.00045,0.00188,
51,07:04:41,10944,72,200,200,868,3,37,200,1250,35,IMG_0057.CR3,0.00044,0.00135,
52,07:04:54,10994,129,200,200,918,3,36,200,1600,37,IMG_0058.CR3,0.00046,0.00193,
