frame,wallclock,cycle_ms,iso,iso_ms,post_ms,post_http,notify_ms,polls,fetch_ms,fetch_http,file,medY,meanY,note
1,17:37:57,8903,1250,30,104,200,903,3,0,0,IMG_0236.CR3,-1.00000,-1.00000,
2,17:38:07,9011,1600,38,87,200,915,4,39,200,IMG_0237.CR3,0.00045,0.00087,
3,17:38:16,8990,1250,35,123,200,948,3,41,200,IMG_0238.CR3,0.00046,0.00111,
4,17:38:26,8932,1600,33,54,200,884,3,46,200,IMG_0239.CR3,0.00043,0.00085,
5,17:38:35,9006,1250,42,147,200,966,3,39,200,IMG_0240.CR3,0.00046,0.00111,
6,17:38:45,8930,1600,35,49,200,892,3,37,200,IMG_0241.CR3,0.00042,0.00085,
7,17:38:54,9019,1250,35,165,200,979,3,40,200,IMG_0242.CR3,0.00046,0.00114,
8,17:39:04,8950,1600,36,49,200,902,4,46,200,IMG_0243.CR3,0.00042,0.00086,
9,17:39:13,9016,1250,42,147,200,975,3,40,200,IMG_0244.CR3,0.00046,0.00113,
10,17:39:23,9058,1600,34,180,200,1011,3,46,200,IMG_0245.CR3,0.00042,0.00087,
11,17:39:32,9018,1250,34,159,200,980,3,37,200,IMG_0246.CR3,0.00046,0.00115,
12,17:39:42,8922,1600,30,66,200,881,3,40,200,IMG_0247.CR3,0.00046,0.00089,
13,17:39:51,9039,1250,33,174,200,997,3,41,200,IMG_0248.CR3,0.00046,0.00113,
14,17:40:01,9043,1600,33,178,200,1004,3,38,200,IMG_0249.CR3,0.00042,0.00086,
15,17:40:10,9020,1250,34,173,200,982,3,37,200,IMG_0250.CR3,0.00046,0.00115,
16,17:40:20,8923,1600,36,52,200,882,3,40,200,IMG_0251.CR3,0.00042,0.00088,
17,17:40:29,9046,1250,34,183,200,1010,4,36,200,IMG_0252.CR3,0.00046,0.00118,
18,17:40:39,9050,1600,33,179,200,1011,3,38,200,IMG_0253.CR3,0.00042,0.00091,
19,17:40:48,9030,1250,35,160,200,986,3,43,200,IMG_0254.CR3,0.00046,0.00122,
20,17:40:58,9050,1600,34,180,200,1010,3,37,200,IMG_0255.CR3,0.00043,0.00094,
21,17:41:08,9027,1250,34,166,200,980,3,47,200,IMG_0256.CR3,0.00046,0.00127,
22,17:41:17,8925,1600,35,59,200,891,3,34,200,IMG_0257.CR3,0.00044,0.00099,
23,17:41:27,9023,1250,37,169,200,988,4,34,200,IMG_0258.CR3,0.00046,0.00129,
24,17:41:36,8918,1600,36,61,200,883,3,35,200,IMG_0259.CR3,0.00043,0.00097,
25,17:41:45,8905,1250,31,57,200,865,3,39,200,IMG_0260.CR3,0.00046,0.00128,
26,17:41:55,8920,1600,35,43,200,883,3,36,200,IMG_0261.CR3,0.00043,0.00097,
27,17:42:04,9054,1250,33,175,200,1009,3,44,200,IMG_0262.CR3,0.00047,0.00131,
28,17:42:14,9022,1600,34,156,200,985,3,36,200,IMG_0263.CR3,0.00047,0.00102,
29,17:42:23,9029,1250,34,175,200,992,3,36,200,IMG_0264.CR3,0.00046,0.00126,
30,17:42:33,8912,1600,36,62,200,875,3,36,200,IMG_0265.CR3,0.00044,0.00095,
31,17:42:42,8911,1250,33,59,200,875,3,35,200,IMG_0266.CR3,0.00046,0.00126,
32,17:42:52,8919,1600,34,59,200,884,3,34,200,IMG_0267.CR3,0.00043,0.00097,
33,17:43:01,9046,1250,35,169,200,1008,3,37,200,IMG_0268.CR3,0.00046,0.00129,
34,17:43:11,9029,1600,35,173,200,991,3,36,200,IMG_0269.CR3,0.00043,0.00099,
35,17:43:20,8905,1250,36,58,200,867,3,37,200,IMG_0270.CR3,0.00047,0.00133,
36,17:43:30,8930,1600,33,52,200,890,3,39,200,IMG_0271.CR3,0.00044,0.00102,
37,17:43:39,9030,1250,37,165,200,994,4,34,200,IMG_0272.CR3,0.00047,0.00135,
38,17:43:49,9049,1600,33,183,200,1013,3,35,200,IMG_0273.CR3,0.00044,0.00100,
39,17:43:58,9024,1250,34,169,200,985,3,37,200,IMG_0274.CR3,0.00047,0.00130,
40,17:44:08,8926,1600,34,49,200,889,3,36,200,IMG_0275.CR3,0.00043,0.00095,
41,17:44:17,9031,1250,33,179,200,994,3,36,200,IMG_0276.CR3,0.00046,0.00121,
42,17:44:27,8920,1600,36,56,200,883,3,36,200,IMG_0277.CR3,0.00043,0.00092,
43,17:44:36,9064,1250,35,174,200,1000,4,36,200,IMG_0278.CR3,0.00047,0.00121,
44,17:44:46,9006,1600,42,139,200,971,3,34,200,IMG_0279.CR3,0.00043,0.00091,
45,17:44:55,8907,1250,39,45,200,870,3,35,200,IMG_0280.CR3,0.00047,0.00124,
46,17:45:04,8944,1600,34,48,200,898,3,44,200,IMG_0281.CR3,0.00043,0.00094,
47,17:45:14,9014,1250,42,148,200,976,3,37,200,IMG_0282.CR3,0.00047,0.00125,
48,17:45:23,8909,1600,36,39,200,869,3,38,200,IMG_0283.CR3,0.00044,0.00098,
49,17:45:33,8916,1250,34,43,200,876,4,37,200,IMG_0284.CR3,0.00047,0.00129,
50,17:45:42,9047,1600,36,179,200,1006,3,37,200,IMG_0285.CR3,0.00044,0.00100,
51,17:45:53,10157,1250,48,154,200,1645,3,510,200,IMG_0286.CR3,0.00047,0.00135,
52,17:46:03,9788,1600,527,430,200,1751,3,36,200,IMG_0287.CR3,0.00043,0.00100,
53,17:46:13,9023,1250,33,175,200,986,3,35,200,IMG_0288.CR3,0.00047,0.00135,
54,17:46:22,8952,1600,35,52,200,904,3,47,200,IMG_0289.CR3,0.00043,0.00102,
55,17:46:32,9013,1250,42,147,200,975,3,36,200,IMG_0290.CR3,0.00047,0.00136,
56,17:46:41,9044,1600,33,184,200,1006,3,37,200,IMG_0291.CR3,0.00043,0.00100,
57,17:46:51,9021,1250,33,181,200,984,3,36,200,IMG_0292.CR3,0.00047,0.00130,
58,17:47:00,8947,1600,33,59,200,903,3,43,200,IMG_0293.CR3,0.00043,0.00096,
59,17:47:10,9011,1250,35,159,200,972,3,37,200,IMG_0294.CR3,0.00046,0.00120,
60,17:47:19,8918,1600,33,51,200,879,3,38,200,IMG_0295.CR3,0.00043,0.00089,
61,17:47:29,9049,1250,35,174,200,1007,3,40,200,IMG_0296.CR3,0.00046,0.00113,
62,17:47:38,9039,1600,36,173,200,1001,3,36,200,IMG_0297.CR3,0.00044,0.00087,
63,17:47:48,9026,1250,34,181,200,986,4,39,200,IMG_0298.CR3,0.00046,0.00113,
64,17:47:57,8933,1600,33,57,200,893,3,38,200,IMG_0299.CR3,0.00043,0.00085,
65,17:48:07,9025,1250,36,166,200,988,3,36,200,IMG_0300.CR3,0.00046,0.00110,
66,17:48:16,8924,1600,33,58,200,889,3,35,200,IMG_0301.CR3,0.00044,0.00085,
67,17:48:26,9022,1250,35,172,200,987,3,34,200,IMG_0302.CR3,0.00045,0.00109,
68,17:48:35,8933,1600,34,61,200,894,3,36,200,IMG_0303.CR3,0.00043,0.00086,
69,17:48:45,9026,1250,37,168,200,987,4,37,200,IMG_0304.CR3,0.00046,0.00110,
70,17:48:54,8914,1600,34,40,200,875,3,38,200,IMG_0305.CR3,0.00044,0.00085,
71,17:49:04,9031,1250,38,173,200,990,3,40,200,IMG_0306.CR3,0.00046,0.00109,
72,17:49:13,8928,1600,34,50,200,891,3,35,200,IMG_0307.CR3,0.00043,0.00082,
73,17:49:23,9017,1250,34,162,200,978,3,37,200,IMG_0308.CR3,0.00046,0.00105,
74,17:49:32,8932,1600,35,65,200,890,3,40,200,IMG_0309.CR3,0.00044,0.00082,
75,17:49:42,9028,1250,35,174,200,986,3,41,200,IMG_0310.CR3,0.00046,0.00105,
76,17:49:51,8913,1600,34,51,200,875,3,36,200,IMG_0311.CR3,0.00043,0.00080,
77,17:50:00,9034,1250,37,179,200,993,3,37,200,IMG_0312.CR3,0.00046,0.00104,
78,17:50:10,8962,1600,37,46,200,914,3,47,200,IMG_0313.CR3,0.00044,0.00081,
79,17:50:19,8999,1250,35,132,200,958,3,39,200,IMG_0314.CR3,0.00046,0.00106,
80,17:50:29,9038,1600,34,180,200,1002,3,35,200,IMG_0315.CR3,0.00043,0.00082,
81,17:50:39,9042,1250,34,181,200,1003,3,37,200,IMG_0316.CR3,0.00046,0.00106,
82,17:50:48,9046,1600,35,182,200,1009,3,36,200,IMG_0317.CR3,0.00044,0.00083,
83,17:50:58,9035,1250,33,180,200,998,3,35,200,IMG_0318.CR3,0.00046,0.00109,
84,17:51:07,8922,1600,33,58,200,883,3,38,200,IMG_0319.CR3,0.00045,0.00087,
85,17:51:17,9021,1250,36,174,200,983,3,36,200,IMG_0320.CR3,0.00046,0.00113,
86,17:51:26,8927,1600,37,46,200,889,3,37,200,IMG_0321.CR3,0.00045,0.00090,
87,17:51:36,9024,1250,34,181,200,987,3,35,200,IMG_0322.CR3,0.00046,0.00121,
88,17:51:45,8923,1600,33,63,200,887,3,36,200,IMG_0323.CR3,0.00044,0.00095,
89,17:51:54,9029,1250,37,175,200,994,4,35,200,IMG_0324.CR3,0.00047,0.00127,
90,17:52:04,8928,1600,33,67,200,888,3,39,200,IMG_0325.CR3,0.00044,0.00099,
91,17:52:13,9025,1250,33,174,200,983,3,39,200,IMG_0326.CR3,0.00047,0.00130,
92,17:52:23,8950,1600,34,59,200,898,3,50,200,IMG_0327.CR3,0.00044,0.00098,
93,17:52:32,9011,1250,37,150,200,970,3,37,200,IMG_0328.CR3,0.00046,0.00132,
94,17:52:42,9040,1600,34,176,200,1000,3,38,200,IMG_0329.CR3,0.00043,0.00099,
95,17:52:51,9032,1250,33,182,200,993,3,38,200,IMG_0330.CR3,0.00047,0.00130,
