frame,wallclock,cycle_ms,iso,iso_ms,post_ms,post_http,notify_ms,polls,fetch_ms,fetch_http,file,medY,meanY,note
1,17:53:55,8938,1250,11,141,200,938,4,0,0,IMG_0331.CR3,-1.00000,-1.00000,
2,17:54:05,9001,1600,35,81,200,917,4,34,200,IMG_0332.CR3,0.00046,0.00095,
3,17:54:14,8981,1250,33,123,200,938,3,41,200,IMG_0333.CR3,0.00047,0.00124,
4,17:54:24,8952,1600,38,105,200,902,3,48,200,IMG_0334.CR3,0.00045,0.00095,
5,17:54:33,9011,1250,39,143,200,971,3,38,200,IMG_0335.CR3,0.00047,0.00123,
6,17:54:43,9035,1600,34,177,200,997,3,36,200,IMG_0336.CR3,0.00043,0.00096,
7,17:54:52,8915,1250,33,46,200,877,4,37,200,IMG_0337.CR3,0.00047,0.00130,
8,17:55:02,9046,1600,33,183,200,1007,3,38,200,IMG_0338.CR3,0.00044,0.00102,
9,17:55:11,9041,1250,33,178,200,1003,3,38,200,IMG_0339.CR3,0.00047,0.00134,
10,17:55:21,9027,1600,35,161,200,991,3,35,200,IMG_0340.CR3,0.00044,0.00098,
11,17:55:30,9045,1250,35,170,200,1003,3,40,200,IMG_0341.CR3,0.00047,0.00126,
12,17:55:40,9057,1600,35,174,200,1014,3,43,200,IMG_0342.CR3,0.00044,0.00094,
13,17:55:49,9012,1250,35,161,200,976,3,36,200,IMG_0343.CR3,0.00047,0.00126,
14,17:55:59,8921,1600,34,61,200,884,3,36,200,IMG_0344.CR3,0.00043,0.00093,
15,17:56:08,9030,1250,33,180,200,991,3,38,200,IMG_0345.CR3,0.00047,0.00121,
16,17:56:18,8910,1600,33,52,200,874,3,36,200,IMG_0346.CR3,0.00043,0.00089,
17,17:56:27,8909,1250,33,59,200,871,3,37,200,IMG_0347.CR3,0.00046,0.00114,
18,17:56:37,8951,1600,37,51,200,901,3,48,200,IMG_0348.CR3,0.00044,0.00088,
19,17:56:46,8998,1250,34,146,200,959,3,38,200,IMG_0349.CR3,0.00047,0.00115,
