frame,wallclock,cycle_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,iso,iso_ms,file,medY,meanY,note
1,04:05:16,947,76,200,200,713,4,54,200,1250,90,IMG_0004.JPG,0.00017,0.00002,
2,04:05:21,839,75,200,200,692,4,33,200,1600,37,IMG_0005.JPG,0.00017,0.00003,
3,04:05:26,860,79,200,200,699,3,39,200,1250,41,IMG_0006.JPG,0.00018,0.00004,
4,04:05:31,935,180,200,200,679,4,37,200,1600,39,IMG_0007.JPG,0.00017,0.00003,
5,04:05:35,856,77,200,200,698,4,36,200,1250,44,IMG_0008.JPG,0.00017,0.00004,
6,04:05:40,839,81,200,200,693,3,30,200,1600,34,IMG_0009.JPG,0.00017,0.00003,
7,04:05:45,841,86,200,200,686,3,30,200,1250,39,IMG_0010.JPG,0.00017,0.00003,
8,04:05:50,848,79,200,200,700,3,32,200,1600,37,IMG_0011.JPG,0.00016,0.00002,
9,04:05:55,948,179,200,200,696,3,29,200,1250,44,IMG_0012.JPG,0.00017,0.00004,
10,04:06:00,827,84,200,200,666,4,36,200,1600,42,IMG_0013.JPG,0.00025,0.00012,
11,04:06:05,862,83,200,200,702,4,35,200,1250,41,IMG_0014.JPG,0.00018,0.00004,
12,04:06:10,946,186,200,200,693,3,31,200,1600,36,IMG_0015.JPG,0.00017,0.00003,
13,04:06:14,853,89,200,200,689,4,30,200,1250,43,IMG_0016.JPG,0.00018,0.00005,
14,04:06:19,838,82,200,200,683,3,35,200,1600,37,IMG_0017.JPG,0.00017,0.00003,
15,04:06:24,835,88,200,200,665,3,36,200,1250,44,IMG_0018.JPG,0.00017,0.00004,
16,04:06:29,842,88,200,200,678,4,36,200,1600,41,IMG_0019.JPG,0.00017,0.00003,
17,04:06:34,840,83,200,200,687,3,30,200,1250,38,IMG_0020.JPG,0.00017,0.00004,
18,04:06:39,842,82,200,200,680,3,36,200,1600,44,IMG_0021.JPG,0.00017,0.00003,
19,04:06:44,964,186,200,200,706,4,33,200,1250,38,IMG_0022.JPG,0.00017,0.00003,
