frame,wallclock,cycle_ms,iso,iso_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,file,medY,meanY,note
1,05:12:27,10025,1250,11,122,200,200,24,1,0,0,IMG_0251.CR3,-1.00000,-1.00000,
2,05:12:40,10080,1600,32,159,200,200,25,1,34,200,IMG_0252.CR3,0.00042,0.00067,
3,05:12:52,10064,1250,41,150,200,200,26,1,36,200,IMG_0253.CR3,0.00044,0.00085,
4,05:13:04,10064,1600,35,163,200,200,28,1,35,200,IMG_0254.CR3,0.00046,0.00071,
5,05:13:16,10065,1250,32,62,200,200,29,1,35,200,IMG_0255.CR3,0.00044,0.00085,
6,05:13:28,10071,1600,35,76,200,200,31,1,38,200,IMG_0256.CR3,0.00042,0.00067,
7,05:13:40,10072,1250,34,88,200,200,30,1,41,200,IMG_0257.CR3,0.00044,0.00086,
8,05:13:52,10071,1600,37,91,200,200,26,1,43,200,IMG_0258.CR3,0.00039,0.00065,
9,05:14:04,10075,1250,39,87,200,200,24,1,49,200,IMG_0259.CR3,0.00044,0.00085,
10,05:14:16,10078,1600,32,98,200,200,24,1,53,200,IMG_0260.CR3,0.00040,0.00065,
11,05:14:28,10072,1250,36,95,200,200,28,1,42,200,IMG_0261.CR3,0.00044,0.00085,
12,05:14:40,10076,1600,36,93,200,200,30,1,45,200,IMG_0262.CR3,0.00041,0.00066,
13,05:14:52,10069,1250,32,100,200,200,23,1,44,200,IMG_0263.CR3,0.00044,0.00085,
14,05:15:04,10068,1600,34,114,200,200,24,1,43,200,IMG_0264.CR3,0.00042,0.00067,
15,05:15:16,10071,1250,34,117,200,200,27,1,42,200,IMG_0265.CR3,0.00044,0.00086,
16,05:15:29,10062,1600,34,125,200,200,24,1,37,200,IMG_0266.CR3,0.00042,0.00067,
17,05:15:41,10064,1250,33,141,200,200,27,1,37,200,IMG_0267.CR3,0.00044,0.00086,
18,05:15:53,10064,1600,35,162,200,200,27,1,35,200,IMG_0268.CR3,0.00043,0.00059,
19,05:16:05,10060,1250,34,176,200,200,26,1,32,200,IMG_0269.CR3,0.00045,0.00062,
20,05:16:17,10060,1600,33,64,200,200,25,1,33,200,IMG_0270.CR3,0.00046,0.00049,
21,05:16:29,10067,1250,35,71,200,200,30,1,35,200,IMG_0271.CR3,0.00040,0.00022,
22,05:16:41,10066,1600,32,89,200,200,25,1,40,200,IMG_0272.CR3,0.00039,0.00021,
23,05:16:53,10074,1250,35,98,200,200,24,1,49,200,IMG_0273.CR3,0.00041,0.00023,
24,05:17:05,10071,1600,40,95,200,200,26,1,44,200,IMG_0274.CR3,0.00037,0.00020,
25,05:17:17,10066,1250,32,116,200,200,24,1,41,200,IMG_0275.CR3,0.00041,0.00023,
26,05:17:29,10056,1600,32,117,200,200,20,1,35,200,IMG_0276.CR3,0.00040,0.00022,
27,05:17:41,10063,1250,33,136,200,200,30,1,32,200,IMG_0277.CR3,0.00040,0.00022,
28,05:17:53,10057,1600,41,155,200,200,24,1,31,200,IMG_0278.CR3,0.00038,0.00020,
29,05:18:05,10065,1250,35,65,200,200,30,1,33,200,IMG_0279.CR3,0.00041,0.00023,
30,05:18:17,10063,1600,33,85,200,200,24,1,38,200,IMG_0280.CR3,0.00039,0.00022,
31,05:18:30,10075,1250,33,109,200,200,26,1,47,200,IMG_0281.CR3,0.00041,0.00023,
32,05:18:42,10073,1600,36,106,200,200,29,1,43,200,IMG_0282.CR3,0.00040,0.00023,
33,05:18:54,10067,1250,35,106,200,200,26,1,38,200,IMG_0283.CR3,0.00041,0.00023,
34,05:19:06,10058,1600,33,120,200,200,24,1,32,200,IMG_0284.CR3,0.00040,0.00022,
