frame,wallclock,cycle_ms,post_ms,lv_ms,fetch_ms,retry,http,bytes,medY,meanY,p90,sat,note
1,11:34:28,10579,115,24,48,0,200,3509,0.00069,0.07204,0.616,0.0000,
2,11:34:43,10542,137,22,40,0,200,3503,0.00068,0.07305,0.624,0.0000,
3,11:34:58,10543,152,24,41,0,200,2172,0.00048,0.00131,0.059,0.0000,
4,11:35:13,10545,166,25,44,0,200,2237,0.00048,0.00131,0.059,0.0000,
5,11:35:28,10547,179,24,45,0,200,2147,0.00048,0.00125,0.059,0.0000,
6,11:35:43,10541,193,27,40,0,200,2170,0.00048,0.00123,0.059,0.0000,
7,11:35:58,10549,955,24,48,0,200,2184,0.00048,0.00123,0.059,0.0000,
8,11:36:13,10579,86,23,78,0,200,2161,0.00048,0.00119,0.055,0.0000,
9,11:36:28,10552,99,24,50,0,200,2173,0.00048,0.00116,0.055,0.0000,
10,11:36:43,10547,116,27,45,0,200,2134,0.00048,0.00110,0.051,0.0000,
11,11:36:58,10545,123,22,44,0,200,2187,0.00048,0.00111,0.051,0.0000,
12,11:37:13,10557,144,23,57,0,200,2184,0.00048,0.00108,0.051,0.0000,
13,11:37:28,10547,154,24,45,0,200,2151,0.00048,0.00108,0.051,0.0000,
14,11:37:43,10546,172,25,44,0,200,2176,0.00048,0.00103,0.047,0.0000,
15,11:37:58,10547,190,24,44,0,200,2141,0.00048,0.00099,0.047,0.0000,
16,11:38:13,10589,70,25,88,0,200,2112,0.00048,0.00095,0.043,0.0000,
17,11:38:28,10552,77,27,51,0,200,2165,0.00048,0.00093,0.043,0.0000,
18,11:38:43,10556,103,27,54,0,200,2146,0.00048,0.00090,0.043,0.0000,
19,11:38:58,10548,113,22,46,0,200,2132,0.00048,0.00088,0.039,0.0000,
20,11:39:13,10564,118,27,63,0,200,2126,0.00048,0.00084,0.039,0.0000,
21,11:39:28,10549,133,23,48,0,200,2102,0.00048,0.00081,0.035,0.0000,
22,11:39:43,10542,148,24,41,0,200,2235,0.00048,0.00079,0.035,0.0000,
23,11:39:58,10542,169,24,41,0,200,2211,0.00047,0.00077,0.035,0.0000,
24,11:40:13,10564,185,24,62,0,200,2197,0.00047,0.00078,0.035,0.0000,
25,11:40:28,10542,73,24,42,0,200,2217,0.00047,0.00078,0.035,0.0000,
26,11:40:43,10554,69,24,52,0,200,2278,0.00047,0.00079,0.035,0.0000,
27,11:40:58,10548,97,25,46,0,200,2246,0.00047,0.00081,0.035,0.0000,
28,11:41:13,10547,100,23,47,0,200,2262,0.00047,0.00084,0.039,0.0000,
29,11:41:28,10542,113,24,40,0,200,2253,0.00048,0.00089,0.043,0.0000,
30,11:41:43,10543,127,25,41,0,200,2242,0.00048,0.00092,0.043,0.0000,
31,11:41:58,10543,143,22,42,0,200,2213,0.00048,0.00094,0.043,0.0000,
32,11:42:13,10556,162,25,55,0,200,2184,0.00048,0.00093,0.043,0.0000,
33,11:42:28,10545,178,25,42,0,200,2219,0.00048,0.00092,0.043,0.0000,
34,11:42:43,10539,192,23,38,0,200,2197,0.00048,0.00092,0.043,0.0000,
35,11:42:58,10547,82,25,46,0,200,2224,0.00048,0.00093,0.043,0.0000,
36,11:43:13,10576,91,23,75,0,200,2230,0.00048,0.00095,0.043,0.0000,
37,11:43:28,10547,103,24,47,0,200,2240,0.00048,0.00096,0.043,0.0000,
38,11:43:43,10542,118,23,40,0,200,2238,0.00048,0.00098,0.047,0.0000,
39,11:43:58,10547,133,23,46,0,200,2265,0.00048,0.00103,0.047,0.0000,
40,11:44:13,10594,147,24,92,0,200,2242,0.00048,0.00107,0.051,0.0000,
41,11:44:28,10544,153,23,42,0,200,2216,0.00048,0.00109,0.051,0.0000,
42,11:44:43,10540,174,23,39,0,200,2251,0.00048,0.00112,0.051,0.0000,
43,11:44:58,10543,186,25,42,0,200,2272,0.00048,0.00118,0.055,0.0000,
44,11:45:13,10693,73,22,191,0,200,2228,0.00048,0.00124,0.059,0.0000,
45,11:45:28,10548,77,23,47,0,200,2289,0.00048,0.00126,0.059,0.0000,
46,11:45:43,10555,95,24,54,0,200,2297,0.00048,0.00135,0.063,0.0000,
47,11:45:58,10542,110,26,41,0,200,2307,0.00048,0.00138,0.063,0.0000,
48,11:46:13,10736,117,25,235,0,200,2254,0.00048,0.00120,0.055,0.0000,
49,11:46:28,10542,134,24,41,0,200,2230,0.00048,0.00110,0.051,0.0000,
50,11:46:43,10545,148,22,44,0,200,2261,0.00048,0.00103,0.047,0.0000,
51,11:46:58,10544,170,25,43,0,200,2204,0.00048,0.00100,0.047,0.0000,
52,11:47:13,10706,186,24,205,0,200,2240,0.00048,0.00098,0.047,0.0000,
53,11:47:28,10546,65,23,44,0,200,2219,0.00048,0.00098,0.047,0.0000,
54,11:47:43,10550,72,24,48,0,200,2207,0.00048,0.00099,0.047,0.0000,
55,11:47:58,10555,98,23,53,0,200,2261,0.00048,0.00105,0.047,0.0000,
56,11:48:13,10712,99,23,210,0,200,2219,0.00048,0.00115,0.055,0.0000,
57,11:48:28,10549,119,26,48,0,200,2268,0.00048,0.00131,0.059,0.0000,
58,11:48:43,10541,133,27,40,0,200,2329,0.00048,0.00152,0.067,0.0000,
59,11:48:58,10540,142,23,38,0,200,2305,0.00048,0.00149,0.067,0.0000,
60,11:49:13,10558,165,26,56,0,200,2315,0.00048,0.00139,0.063,0.0000,
61,11:49:28,10543,178,32,41,0,200,2309,0.00048,0.00141,0.063,0.0000,
