frame,wallclock,cycle_ms,iso,iso_ms,post_ms,post_http,notify_ms,polls,fetch_ms,fetch_http,file,medY,meanY,note
1,17:17:38,8854,1250,29,67,200,853,4,0,0,IMG_0191.CR3,-1.00000,-1.00000,
2,17:17:47,8988,1600,31,76,200,892,3,39,200,IMG_0192.CR3,0.00046,0.00069,
3,17:17:56,8951,1250,35,89,200,914,3,37,200,IMG_0193.CR3,0.00047,0.00084,
4,17:18:05,9027,1600,43,129,200,988,3,38,200,IMG_0194.CR3,0.00046,0.00067,
5,17:18:14,8976,1250,37,123,200,936,3,39,200,IMG_0195.CR3,0.00047,0.00081,
6,17:18:23,9024,1600,44,141,200,986,3,36,200,IMG_0196.CR3,0.00046,0.00066,
7,17:18:32,9009,1250,42,136,200,967,3,40,200,IMG_0197.CR3,0.00047,0.00082,
8,17:18:41,9026,1600,43,128,200,980,3,45,200,IMG_0198.CR3,0.00045,0.00066,
9,17:18:50,8985,1250,36,118,200,945,3,38,200,IMG_0199.CR3,0.00047,0.00080,
10,17:18:59,9013,1600,36,148,200,973,3,39,200,IMG_0200.CR3,0.00046,0.00065,
11,17:19:08,9001,1250,42,138,200,959,3,40,200,IMG_0201.CR3,0.00047,0.00079,
12,17:19:17,9030,1600,39,149,200,985,3,44,200,IMG_0202.CR3,0.00044,0.00063,
13,17:19:26,8996,1250,37,118,200,957,3,38,200,IMG_0203.CR3,0.00047,0.00079,
14,17:19:35,9007,1600,40,129,200,967,3,37,200,IMG_0204.CR3,0.00046,0.00065,
15,17:19:44,8988,1250,40,138,200,952,4,36,200,IMG_0205.CR3,0.00046,0.00080,
16,17:19:53,9022,1600,37,160,200,984,3,37,200,IMG_0206.CR3,0.00045,0.00065,
17,17:20:02,9017,1250,41,136,200,980,3,36,200,IMG_0207.CR3,0.00047,0.00081,
18,17:20:11,9038,1600,45,135,200,987,3,49,200,IMG_0208.CR3,0.00045,0.00065,
19,17:20:20,8973,1250,35,115,200,934,3,37,200,IMG_0209.CR3,0.00046,0.00081,
20,17:20:29,9009,1600,47,137,200,970,3,38,200,IMG_0210.CR3,0.00046,0.00066,
21,17:20:38,9014,1250,47,130,200,974,3,39,200,IMG_0211.CR3,0.00046,0.00079,
22,17:20:47,9051,1600,43,139,200,1000,4,50,200,IMG_0212.CR3,0.00045,0.00065,
23,17:20:56,8963,1250,38,91,200,925,3,37,200,IMG_0213.CR3,0.00047,0.00080,
24,17:21:05,9015,1600,46,129,200,975,3,38,200,IMG_0214.CR3,0.00045,0.00064,
25,17:21:14,9005,1250,40,136,200,963,3,41,200,IMG_0215.CR3,0.00047,0.00079,
26,17:21:23,9016,1600,43,137,200,978,3,37,200,IMG_0216.CR3,0.00046,0.00065,
27,17:21:32,8990,1250,42,130,200,954,3,34,200,IMG_0217.CR3,0.00046,0.00079,
28,17:21:41,9026,1600,43,142,200,990,4,35,200,IMG_0218.CR3,0.00045,0.00065,
29,17:21:50,8992,1250,42,126,200,951,4,40,200,IMG_0219.CR3,0.00047,0.00081,
30,17:21:59,9052,1600,40,153,200,1001,3,50,200,IMG_0220.CR3,0.00045,0.00066,
31,17:22:08,8978,1250,39,103,200,941,3,37,200,IMG_0221.CR3,0.00046,0.00083,
32,17:22:17,9005,1600,42,136,200,967,3,37,200,IMG_0222.CR3,0.00044,0.00065,
33,17:22:26,8997,1250,36,144,200,958,3,37,200,IMG_0223.CR3,0.00047,0.00084,
34,17:22:35,9039,1600,44,150,200,992,4,45,200,IMG_0224.CR3,0.00045,0.00067,
35,17:22:44,8997,1250,36,130,200,958,4,38,200,IMG_0225.CR3,0.00046,0.00084,
36,17:22:53,9010,1600,42,124,200,971,3,38,200,IMG_0226.CR3,0.00044,0.00068,
37,17:23:02,8993,1250,43,122,200,951,3,41,200,IMG_0227.CR3,0.00046,0.00086,
38,17:23:11,9012,1600,40,139,200,976,3,35,200,IMG_0228.CR3,0.00045,0.00070,
39,17:23:20,9012,1250,48,137,200,971,3,39,200,IMG_0229.CR3,0.00046,0.00087,
40,17:23:29,9031,1600,45,133,200,985,3,45,200,IMG_0230.CR3,0.00045,0.00070,
41,17:23:38,8991,1250,38,122,200,945,3,44,200,IMG_0231.CR3,0.00046,0.00088,
42,17:23:47,9009,1600,41,136,200,966,3,41,200,IMG_0232.CR3,0.00043,0.00068,
