frame,wallclock,cycle_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,iso,iso_ms,file,medY,meanY,note
1,08:50:03,8986,167,200,200,966,4,0,0,1250,19,IMG_0002.CR3,-1.00000,-1.00000,
2,08:50:18,9108,197,200,200,997,3,50,200,1600,29,IMG_0003.CR3,0.00047,0.01332,
3,08:50:33,8971,94,200,200,892,3,37,200,1250,41,IMG_0004.CR3,0.00047,0.01272,
4,08:50:48,9000,145,200,200,913,3,40,200,1600,46,IMG_0005.CR3,0.00048,0.01810,
5,08:51:03,9048,158,200,200,963,3,48,200,1250,35,IMG_0006.CR3,0.00047,0.01324,
6,08:51:18,8993,124,200,200,909,3,37,200,1600,46,IMG_0007.CR3,0.00048,0.01914,
7,08:51:33,9025,145,200,200,941,3,45,200,1250,37,IMG_0008.CR3,0.00047,0.01377,
8,08:51:48,9009,127,200,200,927,4,38,200,1600,44,IMG_0009.CR3,0.00048,0.01959,
9,08:52:03,9011,125,200,200,926,3,47,200,1250,37,IMG_0010.CR3,0.00048,0.01578,
10,08:52:19,9015,129,200,200,930,3,47,200,1600,37,IMG_0011.CR3,0.00048,0.02309,
11,08:52:34,9002,130,200,200,919,3,40,200,1250,42,IMG_0012.CR3,0.00048,0.01822,
12,08:52:49,9009,141,200,200,925,3,38,200,1600,45,IMG_0013.CR3,0.00048,0.02524,
13,08:53:04,9015,146,200,200,936,3,39,200,1250,40,IMG_0014.CR3,0.00048,0.01956,
14,08:53:19,8986,139,200,200,910,3,37,200,1600,38,IMG_0015.CR3,0.00049,0.02682,
15,08:53:34,9073,171,200,200,986,4,51,200,1250,34,IMG_0016.CR3,0.00048,0.01933,
16,08:53:49,9002,114,200,200,918,4,49,200,1600,36,IMG_0017.CR3,0.00048,0.02629,
17,08:54:04,8987,126,200,200,905,3,39,200,1250,43,IMG_0018.CR3,0.00048,0.02082,
18,08:54:19,9009,155,200,200,928,3,38,200,1600,43,IMG_0019.CR3,0.00049,0.02921,
19,08:54:34,9056,161,200,200,968,3,54,200,1250,34,IMG_0020.CR3,0.00048,0.02288,
20,08:54:49,8985,108,200,200,905,3,39,200,1600,37,IMG_0021.CR3,0.00049,0.03076,
21,08:55:04,9021,147,200,200,939,3,42,200,1250,39,IMG_0022.CR3,0.00048,0.02057,
22,08:55:19,9005,141,200,200,921,3,39,200,1600,44,IMG_0023.CR3,0.00048,0.02396,
23,08:55:34,9027,152,200,200,948,3,43,200,1250,35,IMG_0024.CR3,0.00048,0.01605,
24,08:55:49,9023,136,200,200,940,4,44,200,1600,37,IMG_0025.CR3,0.00048,0.02063,
25,08:56:04,8997,119,200,200,921,3,35,200,1250,41,IMG_0026.CR3,0.00048,0.01463,
26,08:56:19,9014,146,200,200,936,3,37,200,1600,40,IMG_0027.CR3,0.00048,0.01936,
27,08:56:34,9016,137,200,200,935,3,34,200,1250,44,IMG_0028.CR3,0.00048,0.01384,
28,08:56:49,9253,136,200,200,1182,1,34,200,1600,36,IMG_0029.CR3,0.00048,0.01882,
29,08:57:04,9050,170,200,200,968,4,43,200,1250,38,IMG_0030.CR3,0.00048,0.01353,
30,08:57:19,9000,128,200,200,923,3,36,200,1600,40,IMG_0031.CR3,0.00048,0.01843,
31,08:57:34,9020,142,200,200,937,3,38,200,1250,43,IMG_0032.CR3,0.00048,0.01347,
32,08:57:49,9012,144,200,200,930,4,36,200,1600,44,IMG_0033.CR3,0.00048,0.01867,
33,08:58:04,9047,138,200,200,958,3,54,200,1250,31,IMG_0034.CR3,0.00048,0.01434,
34,08:58:19,8982,111,200,200,906,3,34,200,1600,41,IMG_0035.CR3,0.00048,0.02079,
35,08:58:34,9014,137,200,200,928,3,35,200,1250,49,IMG_0036.CR3,0.00048,0.01584,
36,08:58:49,9016,148,200,200,939,3,39,200,1600,38,IMG_0037.CR3,0.00048,0.02159,
37,08:59:04,9037,145,200,200,948,3,45,200,1250,42,IMG_0038.CR3,0.00048,0.01571,
38,08:59:19,9009,123,200,200,926,3,44,200,1600,38,IMG_0039.CR3,0.00048,0.02146,
39,08:59:34,9003,128,200,200,925,3,36,200,1250,40,IMG_0040.CR3,0.00048,0.01601,
40,08:59:49,8995,131,200,200,919,4,34,200,1600,39,IMG_0041.CR3,0.00048,0.02279,
41,09:00:04,9049,158,200,200,964,3,47,200,1250,37,IMG_0042.CR3,0.00048,0.01773,
42,09:00:19,8997,121,200,200,916,3,36,200,1600,44,IMG_0043.CR3,0.00048,0.02474,
43,09:00:34,9021,132,200,200,939,4,43,200,1250,37,IMG_0044.CR3,0.00048,0.01779,
44,09:00:49,8999,135,200,200,919,3,41,200,1600,38,IMG_0045.CR3,0.00048,0.02319,
45,09:01:04,9038,150,200,200,957,3,44,200,1250,36,IMG_0046.CR3,0.00048,0.01576,
46,09:01:19,8993,123,200,200,913,3,37,200,1600,42,IMG_0047.CR3,0.00048,0.01973,
47,09:01:34,9014,139,200,200,937,3,36,200,1250,40,IMG_0048.CR3,0.00047,0.01386,
48,09:01:49,9003,145,200,200,927,4,36,200,1600,39,IMG_0049.CR3,0.00048,0.02013,
49,09:02:04,9037,150,200,200,958,3,41,200,1250,36,IMG_0050.CR3,0.00048,0.01444,
50,09:02:19,9005,137,200,200,917,3,38,200,1600,50,IMG_0051.CR3,0.00048,0.02042,
51,09:02:34,9017,146,200,200,940,3,34,200,1250,42,IMG_0052.CR3,0.00048,0.01510,
52,09:02:49,9009,139,200,200,931,3,35,200,1600,43,IMG_0053.CR3,0.00048,0.01955,
53,09:03:04,9012,146,200,200,927,3,37,200,1250,47,IMG_0054.CR3,0.00048,0.01435,
54,09:03:19,9016,145,200,200,931,3,37,200,1600,47,IMG_0055.CR3,0.00048,0.01949,
55,09:03:34,9024,136,200,200,948,3,40,200,1250,35,IMG_0056.CR3,0.00048,0.01476,
56,09:03:49,9007,137,200,200,925,4,38,200,1600,43,IMG_0057.CR3,0.00048,0.01996,
57,09:04:04,9035,144,200,200,952,3,49,200,1250,33,IMG_0058.CR3,0.00048,0.01464,
58,09:04:19,8998,114,200,200,918,3,43,200,1600,36,IMG_0059.CR3,0.00048,0.02026,
59,09:04:35,9041,139,200,200,954,3,50,200,1250,36,IMG_0060.CR3,0.00047,0.01488,
60,09:04:50,8997,103,200,200,915,3,42,200,1600,40,IMG_0061.CR3,0.00048,0.02062,
61,09:05:05,9005,134,200,200,927,3,42,200,1250,36,IMG_0062.CR3,0.00048,0.01421,
62,09:05:20,8996,138,200,200,919,3,37,200,1600,39,IMG_0063.CR3,0.00048,0.01790,
63,09:05:35,9037,154,200,200,958,3,42,200,1250,36,IMG_0064.CR3,0.00047,0.01260,
64,09:05:50,9002,125,200,200,925,4,35,200,1600,41,IMG_0065.CR3,0.00048,0.01772,
65,09:06:05,9056,146,200,200,942,4,82,200,1250,32,IMG_0066.CR3,0.00047,0.01264,
66,09:06:20,8972,103,200,200,892,3,37,200,1600,43,IMG_0067.CR3,0.00048,0.01826,
67,09:06:35,9025,158,200,200,948,3,38,200,1250,39,IMG_0068.CR3,0.00048,0.01340,
68,09:06:50,8991,132,200,200,913,3,37,200,1600,40,IMG_0069.CR3,0.00048,0.01821,
69,09:07:05,9036,150,200,200,954,3,34,200,1250,47,IMG_0070.CR3,0.00048,0.01374,
70,09:07:20,9007,139,200,200,930,3,36,200,1600,40,IMG_0071.CR3,0.00048,0.01894,
71,09:07:35,9036,145,200,200,949,3,47,200,1250,39,IMG_0072.CR3,0.00048,0.01420,
72,09:07:50,8991,114,200,200,912,4,36,200,1600,42,IMG_0073.CR3,0.00048,0.02028,
73,09:08:05,9024,148,200,200,941,3,45,200,1250,36,IMG_0074.CR3,0.00048,0.01466,
74,09:08:20,9001,136,200,200,923,3,38,200,1600,40,IMG_0075.CR3,0.00048,0.01935,
75,09:08:35,9025,150,200,200,943,3,49,200,1250,33,IMG_0076.CR3,0.00047,0.01333,
76,09:08:50,8995,136,200,200,916,3,35,200,1600,43,IMG_0077.CR3,0.00048,0.01706,
77,09:09:05,9057,149,200,200,970,3,53,200,1250,33,IMG_0078.CR3,0.00047,0.01126,
78,09:09:20,8969,113,200,200,888,3,38,200,1600,42,IMG_0079.CR3,0.00048,0.01502,
79,09:09:35,9031,160,200,200,950,4,37,200,1250,43,IMG_0080.CR3,0.00047,0.01047,
80,09:09:50,9052,135,200,200,973,4,43,200,1600,36,IMG_0081.CR3,0.00048,0.01492,
81,09:10:05,8993,104,200,200,911,3,47,200,1250,34,IMG_0082.CR3,0.00047,0.01086,
82,09:10:20,8980,120,200,200,898,3,39,200,1600,43,IMG_0083.CR3,0.00048,0.01672,
83,09:10:35,9039,157,200,200,956,3,43,200,1250,33,IMG_0084.CR3,0.00047,0.01244,
84,09:10:50,8991,137,200,200,916,3,36,200,1600,38,IMG_0085.CR3,0.00048,0.01746,
85,09:11:05,9107,159,200,200,981,3,92,200,1250,34,IMG_0086.CR3,0.00048,0.01339,
86,09:11:20,8932,71,200,200,846,3,42,200,1600,43,IMG_0087.CR3,0.00048,0.01930,
87,09:11:35,9069,140,200,200,955,3,82,200,1250,31,IMG_0088.CR3,0.00048,0.01539,
88,09:11:50,8962,93,200,200,886,4,34,200,1600,41,IMG_0089.CR3,0.00048,0.02308,
89,09:12:05,9036,138,200,200,949,3,48,200,1250,37,IMG_0090.CR3,0.00048,0.01736,
90,09:12:20,8991,125,200,200,913,3,36,200,1600,41,IMG_0091.CR3,0.00049,0.02449,
91,09:12:35,9021,157,200,200,944,3,34,200,1250,42,IMG_0092.CR3,0.00048,0.02037,
