frame,wallclock,cycle_ms,post_http,post_ms,notify_http,notify_ms,polls,fetch_ms,fetch_http,file,note
1,14:02:19,8904,200,130,200,904,4,0,0,IMG_0854.CR3,
2,14:02:34,8925,200,148,200,924,3,0,0,IMG_0855.CR3,
3,14:02:49,8964,200,149,200,963,3,0,0,IMG_0856.CR3,
4,14:03:04,8973,200,168,200,973,3,0,0,IMG_0857.CR3,
5,14:03:19,8968,200,184,200,967,3,0,0,IMG_0858.CR3,
6,14:03:34,8852,200,67,200,852,3,0,0,IMG_0859.CR3,
7,14:03:49,8870,200,73,200,870,3,0,0,IMG_0860.CR3,
8,14:04:04,8886,200,94,200,886,4,0,0,IMG_0861.CR3,
9,14:04:19,8890,200,100,200,889,3,0,0,IMG_0862.CR3,
10,14:04:34,8912,200,123,200,911,3,0,0,IMG_0863.CR3,
11,14:04:49,8942,200,127,200,942,3,0,0,IMG_0864.CR3,
12,14:05:04,8948,200,143,200,947,3,0,0,IMG_0865.CR3,
13,14:05:19,8950,200,164,200,950,3,0,0,IMG_0866.CR3,
14,14:05:34,8963,200,178,200,962,4,0,0,IMG_0867.CR3,
15,14:05:49,8994,200,192,200,993,4,0,0,IMG_0868.CR3,
16,14:06:04,8859,200,78,200,858,3,0,0,IMG_0869.CR3,
17,14:06:19,8869,200,89,200,868,3,0,0,IMG_0870.CR3,
18,14:06:34,8887,200,98,200,886,3,0,0,IMG_0871.CR3,
19,14:06:49,8893,200,117,200,893,3,0,0,IMG_0872.CR3,
20,14:07:04,8910,200,130,200,910,3,0,0,IMG_0873.CR3,
21,14:07:19,8949,200,145,200,949,4,0,0,IMG_0874.CR3,
22,14:07:34,8962,200,151,200,962,3,0,0,IMG_0875.CR3,
23,14:07:49,8953,200,172,200,952,3,0,0,IMG_0876.CR3,
24,14:08:04,8968,200,185,200,968,3,0,0,IMG_0877.CR3,
25,14:08:19,8862,200,72,200,862,3,0,0,IMG_0878.CR3,
26,14:08:34,8874,200,75,200,874,3,0,0,IMG_0879.CR3,
27,14:08:49,8887,200,98,200,886,3,0,0,IMG_0880.CR3,
28,14:09:04,8904,200,103,200,903,4,0,0,IMG_0881.CR3,
29,14:09:19,8930,200,118,200,930,3,0,0,IMG_0882.CR3,
30,14:09:34,8947,200,131,200,946,3,0,0,IMG_0883.CR3,
31,14:09:49,8941,200,146,200,941,3,0,0,IMG_0884.CR3,
32,14:10:04,8957,200,166,200,956,3,0,0,IMG_0885.CR3,
33,14:10:19,8969,200,181,200,969,3,0,0,IMG_0886.CR3,
34,14:10:34,8851,200,66,200,851,3,0,0,IMG_0887.CR3,
35,14:10:49,8874,200,70,200,874,4,0,0,IMG_0888.CR3,
36,14:11:04,8891,200,91,200,891,3,0,0,IMG_0889.CR3,
37,14:11:19,8887,200,98,200,886,3,0,0,IMG_0890.CR3,
38,14:11:34,8910,200,123,200,910,3,0,0,IMG_0891.CR3,
39,14:11:49,8934,200,127,200,933,3,0,0,IMG_0892.CR3,
40,14:12:04,8944,200,142,200,944,3,0,0,IMG_0893.CR3,
41,14:12:19,8954,200,165,200,954,3,0,0,IMG_0894.CR3,
42,14:12:34,8973,200,177,200,973,4,0,0,IMG_0895.CR3,
43,14:12:49,8865,200,63,200,864,3,0,0,IMG_0896.CR3,
44,14:13:04,8867,200,70,200,867,3,0,0,IMG_0897.CR3,
45,14:13:19,8883,200,90,200,883,3,0,0,IMG_0898.CR3,
46,14:13:34,8894,200,102,200,893,3,0,0,IMG_0899.CR3,
47,14:13:49,8921,200,110,200,920,3,0,0,IMG_0900.CR3,
48,14:14:04,8926,200,123,200,926,3,0,0,IMG_0901.CR3,
49,14:14:19,8941,200,138,200,940,4,0,0,IMG_0902.CR3,
