frame,wallclock,cycle_ms,post_http,post_ms,notify_http,notify_ms,polls,fetch_ms,fetch_http,file,note
1,15:23:05,8905,200,58,200,857,3,48,200,IMG_1154.CR3,
2,15:23:20,8937,200,81,200,882,3,55,200,IMG_1155.CR3,
3,15:23:35,8952,200,96,200,898,4,54,200,IMG_1156.CR3,
4,15:23:50,8959,200,106,200,908,3,51,200,IMG_1157.CR3,
5,15:24:05,8988,200,113,200,930,3,58,200,IMG_1158.CR3,
6,15:24:20,9004,200,127,200,946,3,58,200,IMG_1159.CR3,
7,15:24:35,9013,200,143,200,954,3,59,200,IMG_1160.CR3,
8,15:24:50,9007,200,156,200,961,3,46,200,IMG_1161.CR3,
9,15:25:05,9018,200,176,200,972,3,46,200,IMG_1162.CR3,
10,15:25:20,9041,200,191,200,994,3,47,200,IMG_1163.CR3,
11,15:25:35,8927,200,65,200,878,4,49,200,IMG_1164.CR3,
12,15:25:50,8932,200,90,200,884,3,47,200,IMG_1165.CR3,
13,15:26:05,8950,200,102,200,897,3,53,200,IMG_1166.CR3,
14,15:26:20,8957,200,109,200,905,3,51,200,IMG_1167.CR3,
15,15:26:35,8972,200,122,200,924,3,48,200,IMG_1168.CR3,
16,15:26:50,9005,200,137,200,950,3,55,200,IMG_1169.CR3,
17,15:27:05,9029,200,154,200,972,3,57,200,IMG_1170.CR3,
18,15:27:20,8997,200,170,200,958,3,38,200,IMG_1171.CR3,
19,15:27:35,9018,200,188,200,978,4,39,200,IMG_1172.CR3,
20,15:27:50,8923,200,69,200,872,3,51,200,IMG_1173.CR3,
21,15:28:05,8944,200,75,200,890,3,54,200,IMG_1174.CR3,
22,15:28:20,8937,200,96,200,893,3,44,200,IMG_1175.CR3,
23,15:28:35,8953,200,106,200,907,3,45,200,IMG_1176.CR3,
24,15:28:50,8978,200,117,200,927,3,50,200,IMG_1177.CR3,
25,15:29:05,9000,200,132,200,947,3,53,200,IMG_1178.CR3,
26,15:29:20,9002,200,146,200,955,4,47,200,IMG_1179.CR3,
27,15:29:35,9009,200,163,200,962,4,47,200,IMG_1180.CR3,
28,15:29:50,9036,200,180,200,985,3,50,200,IMG_1181.CR3,
29,15:30:05,8890,200,70,200,850,3,40,200,IMG_1182.CR3,
30,15:30:20,8921,200,76,200,872,3,49,200,IMG_1183.CR3,
31,15:30:35,8964,200,95,200,908,3,56,200,IMG_1184.CR3,
32,15:30:50,8981,200,97,200,922,3,59,200,IMG_1185.CR3,
33,15:31:05,8965,200,112,200,918,3,46,200,IMG_1186.CR3,
34,15:31:20,8975,200,135,200,929,4,46,200,IMG_1187.CR3,
35,15:31:35,9028,200,140,200,982,3,46,200,IMG_1188.CR3,
36,15:31:50,9002,200,154,200,954,3,48,200,IMG_1189.CR3,
37,15:32:05,9018,200,176,200,972,3,45,200,IMG_1190.CR3,
38,15:32:20,9058,200,189,200,1001,3,57,200,IMG_1191.CR3,
39,15:32:35,8943,200,66,200,887,3,55,200,IMG_1192.CR3,
40,15:32:50,8916,200,88,200,873,3,43,200,IMG_1193.CR3,
41,15:33:05,8942,200,99,200,893,3,49,200,IMG_1194.CR3,
42,15:33:20,8976,200,107,200,921,4,56,200,IMG_1195.CR3,
43,15:33:35,8989,200,120,200,932,3,56,200,IMG_1196.CR3,
44,15:33:50,8985,200,136,200,939,3,46,200,IMG_1197.CR3,
45,15:34:05,9010,200,175,200,958,3,51,200,IMG_1198.CR3,
46,15:34:20,9026,200,169,200,972,3,54,200,IMG_1199.CR3,
47,15:34:35,9015,200,182,200,974,3,41,200,IMG_1200.CR3,
48,15:34:50,8899,200,68,200,859,3,40,200,IMG_1201.CR3,
49,15:35:05,8949,200,86,200,888,3,61,200,IMG_1202.CR3,
50,15:37:07,115432,200,88,0,107432,5,0,0,,通知なし
51,15:38:07,60045,0,30024,0,30021,1,0,0,,通知なし
