frame,wallclock,cycle_ms,post_ms,lv_ms,fetch_ms,retry,http,bytes,medY,meanY,p90,sat,note
1,07:02:03,10158,64,48,1144,2,200,4585,0.01449,0.01375,0.161,0.0000,
2,07:02:19,10235,74,47,1234,2,200,4568,0.01466,0.01391,0.161,0.0000,
3,07:02:33,9678,75,44,676,1,200,4549,0.01487,0.01413,0.165,0.0000,
4,07:02:48,9597,76,46,595,1,200,4557,0.01508,0.01435,0.165,0.0000,
5,07:03:03,9601,63,44,599,1,200,4515,0.01530,0.01455,0.169,0.0000,
6,07:03:18,9600,65,50,599,1,200,4530,0.01557,0.01480,0.169,0.0000,
7,07:03:33,10117,61,45,1115,2,200,4540,0.01576,0.01499,0.169,0.0000,
8,07:03:49,10300,65,45,1299,2,200,4550,0.01598,0.01520,0.173,0.0000,
9,07:04:04,10230,69,45,1229,2,200,4514,0.01619,0.01540,0.173,0.0000,
10,07:04:18,9525,63,46,524,1,200,4539,0.01645,0.01563,0.173,0.0000,
11,07:04:33,9537,74,45,536,1,200,4579,0.01664,0.01581,0.173,0.0000,
12,07:04:48,9608,72,51,607,1,200,4577,0.01686,0.01603,0.176,0.0000,
13,07:05:03,9531,66,46,529,1,200,4550,0.01705,0.01623,0.176,0.0000,
14,07:05:19,10337,82,45,1335,2,200,4538,0.01728,0.01642,0.176,0.0000,
15,07:05:34,10611,87,44,1610,2,200,4521,0.01743,0.01658,0.180,0.0000,
16,07:05:48,9553,67,49,552,1,200,4518,0.01756,0.01673,0.180,0.0000,
17,07:06:03,9620,65,46,618,1,200,4515,0.01775,0.01690,0.180,0.0000,
18,07:06:18,9608,64,45,608,1,200,4552,0.01795,0.01705,0.180,0.0000,
19,07:06:33,10144,67,52,1142,2,200,4533,0.01809,0.01724,0.184,0.0000,
20,07:06:49,10367,72,47,1366,2,200,4567,0.01830,0.01742,0.184,0.0000,
21,07:07:04,10223,85,48,1221,2,200,4537,0.01847,0.01758,0.184,0.0000,
22,07:07:18,9529,76,46,528,1,200,4552,0.01862,0.01773,0.184,0.0000,
23,07:07:33,9612,71,46,610,1,200,4515,0.01874,0.01786,0.188,0.0000,
24,07:07:48,9600,62,45,599,1,200,4519,0.01886,0.01796,0.188,0.0000,
25,07:08:03,9605,62,46,604,1,200,4497,0.01902,0.01812,0.188,0.0000,
26,07:08:18,10113,64,45,1111,2,200,4501,0.01922,0.01832,0.188,0.0000,
27,07:08:34,10530,68,45,1528,2,200,4551,0.01949,0.01856,0.192,0.0000,
28,07:08:48,9702,73,46,701,1,200,4552,0.01972,0.01879,0.192,0.0000,
29,07:09:03,9607,71,45,606,1,200,4534,0.01995,0.01897,0.192,0.0000,
30,07:09:18,9526,68,46,525,1,200,4516,0.02015,0.01921,0.196,0.0000,
31,07:09:33,9611,79,44,611,1,200,4540,0.02024,0.01928,0.196,0.0000,
32,07:09:48,9534,72,45,533,1,200,4539,0.02038,0.01939,0.196,0.0000,
33,07:10:04,10309,74,45,1307,2,200,4550,0.02044,0.01948,0.196,0.0000,
34,07:10:19,10260,66,52,1259,2,200,4539,0.02069,0.01970,0.196,0.0000,
35,07:10:33,9544,65,53,543,1,200,4539,0.02088,0.01989,0.196,0.0000,
36,07:10:48,9627,86,44,626,1,200,4589,0.02098,0.01998,0.200,0.0000,
37,07:11:03,9532,77,46,531,1,200,4542,0.02110,0.02008,0.200,0.0000,
38,07:11:18,9614,80,44,613,1,200,4540,0.02124,0.02024,0.200,0.0000,
39,07:11:33,10155,66,48,1154,2,200,4603,0.02141,0.02036,0.200,0.0000,
40,07:11:49,10600,71,51,1599,2,200,4547,0.02140,0.02035,0.200,0.0000,
41,07:12:03,9741,65,47,740,1,200,4579,0.02157,0.02050,0.200,0.0000,
42,07:12:18,9617,72,48,615,1,200,4576,0.02160,0.02058,0.200,0.0000,
43,07:12:33,9634,75,48,632,1,200,4578,0.02186,0.02079,0.204,0.0000,
44,07:12:48,9615,73,49,614,1,200,4579,0.02186,0.02082,0.204,0.0000,
45,07:13:04,10199,75,45,1198,2,200,4574,0.02199,0.02090,0.204,0.0000,
46,07:13:19,10631,72,47,1630,2,200,4547,0.02180,0.02073,0.204,0.0000,
47,07:13:34,10395,65,47,1393,2,200,4548,0.02170,0.02066,0.200,0.0000,
48,07:13:48,9613,64,48,612,1,200,4542,0.02167,0.02063,0.200,0.0000,
49,07:14:03,9545,76,49,542,1,200,4575,0.02175,0.02067,0.204,0.0000,
50,07:14:18,9615,71,45,614,1,200,4569,0.02168,0.02065,0.200,0.0000,
51,07:14:33,9554,71,48,553,1,200,4567,0.02174,0.02067,0.204,0.0000,
52,07:14:49,10253,72,48,1252,2,200,4588,0.02174,0.02071,0.204,0.0000,
53,07:15:04,10224,69,48,1223,2,200,4560,0.02176,0.02073,0.204,0.0000,
54,07:15:18,9544,78,45,543,1,200,4572,0.02180,0.02076,0.204,0.0000,
55,07:15:33,9646,88,44,644,1,200,4553,0.02183,0.02081,0.204,0.0000,
56,07:15:48,9536,76,48,535,1,200,4561,0.02195,0.02088,0.204,0.0000,
57,07:16:03,9629,82,46,627,1,200,4548,0.02201,0.02096,0.204,0.0000,
58,07:16:19,10516,69,48,1514,2,200,4548,0.02201,0.02097,0.204,0.0000,
59,07:16:34,10290,69,52,1289,2,200,4556,0.02215,0.02107,0.204,0.0000,
60,07:16:48,9702,80,48,700,1,200,4550,0.02222,0.02115,0.204,0.0000,
61,07:17:03,9607,75,45,605,1,200,4557,0.02227,0.02119,0.204,0.0000,
62,07:17:18,9619,63,44,618,1,200,4568,0.02234,0.02128,0.204,0.0000,
63,07:17:33,9605,61,49,604,1,200,4566,0.02251,0.02144,0.208,0.0000,
64,07:17:48,9735,65,51,733,1,200,4574,0.02276,0.02163,0.208,0.0000,
65,07:18:04,10564,87,49,1561,2,200,4572,0.02281,0.02170,0.208,0.0000,
66,07:18:18,9713,70,58,711,1,200,4571,0.02288,0.02177,0.208,0.0000,
67,07:18:33,9611,76,44,608,1,200,4560,0.02301,0.02189,0.208,0.0000,
68,07:18:48,9547,77,51,545,1,200,4566,0.02330,0.02216,0.208,0.0000,
69,07:19:03,9540,85,44,538,1,200,4579,0.02364,0.02245,0.212,0.0000,
70,07:19:18,10051,85,47,1049,2,200,4622,0.02356,0.02244,0.212,0.0000,
71,07:19:34,10511,75,44,1509,2,200,4580,0.02375,0.02262,0.212,0.0000,
72,07:19:48,9807,73,45,805,1,200,4604,0.02380,0.02265,0.212,0.0000,
73,07:20:03,9533,77,46,533,1,200,4606,0.02387,0.02274,0.212,0.0000,
74,07:20:18,9646,88,51,644,1,200,4597,0.02377,0.02261,0.212,0.0000,
75,07:20:33,9622,74,48,621,1,200,4619,0.02377,0.02262,0.212,0.0000,
76,07:20:48,9623,74,48,621,1,200,4627,0.02349,0.02235,0.212,0.0000,
77,07:21:04,10399,72,54,1396,2,200,4620,0.02347,0.02232,0.212,0.0000,
78,07:21:19,10532,72,55,1530,2,200,4569,0.02352,0.02237,0.212,0.0000,
79,07:21:33,9623,71,49,621,1,200,4590,0.02361,0.02246,0.212,0.0000,
80,07:21:48,9610,77,48,609,1,200,4580,0.02367,0.02251,0.212,0.0000,
81,07:22:03,9635,70,50,633,1,200,4579,0.02374,0.02258,0.212,0.0000,
82,07:22:18,9617,67,51,615,1,200,4546,0.02305,0.02194,0.208,0.0000,
83,07:22:33,9754,64,48,750,1,200,4537,0.02288,0.02179,0.208,0.0000,
84,07:22:49,10513,86,45,1512,2,200,4615,0.02294,0.02181,0.208,0.0000,
85,07:23:03,9705,77,45,704,1,200,4584,0.02275,0.02165,0.208,0.0000,
86,07:23:18,9608,83,51,605,1,200,4545,0.02274,0.02166,0.208,0.0000,
87,07:23:33,9536,67,48,534,1,200,4565,0.02315,0.02200,0.208,0.0000,
88,07:23:48,9543,87,45,542,1,200,4556,0.02314,0.02202,0.208,0.0000,
89,07:24:03,9531,82,48,530,1,200,4571,0.02272,0.02160,0.208,0.0000,
90,07:24:19,10532,81,50,1531,2,200,4563,0.02245,0.02139,0.204,0.0000,
91,07:24:34,10326,61,45,1324,2,200,4561,0.02259,0.02149,0.204,0.0000,
92,07:24:48,9539,82,45,537,1,200,4564,0.02285,0.02176,0.208,0.0000,
93,07:25:03,9629,72,45,627,1,200,4548,0.02303,0.02192,0.208,0.0000,
94,07:25:18,9608,72,51,607,1,200,4562,0.02334,0.02217,0.208,0.0000,
95,07:25:33,9619,77,48,617,1,200,4575,0.02372,0.02258,0.212,0.0000,
96,07:25:49,10395,70,49,1394,2,200,4534,0.02429,0.02310,0.216,0.0000,
97,07:26:04,10544,70,45,1542,2,200,4587,0.02486,0.02366,0.216,0.0000,
98,07:26:18,9617,69,48,615,1,200,4579,0.02524,0.02398,0.220,0.0000,
99,07:26:33,9626,66,46,625,1,200,4595,0.02538,0.02416,0.220,0.0000,
100,07:26:48,9605,71,53,604,1,200,4612,0.02580,0.02457,0.220,0.0000,
101,07:27:03,9614,71,47,612,1,200,4573,0.02703,0.02573,0.227,0.0000,
102,07:27:19,10168,68,50,1168,2,200,4642,0.02900,0.02761,0.235,0.0000,
103,07:27:34,10615,78,48,1613,2,200,4674,0.03001,0.02853,0.239,0.0000,
104,07:27:49,10397,67,47,1396,2,200,4675,0.03023,0.02872,0.239,0.0000,
105,07:28:03,9612,74,45,610,1,200,4644,0.03065,0.02915,0.243,0.0000,
106,07:28:18,9538,74,47,537,1,200,4641,0.03133,0.02985,0.243,0.0000,
107,07:28:33,9544,69,48,542,1,200,4649,0.03069,0.02922,0.243,0.0000,
108,07:28:48,9585,76,45,585,1,200,4697,0.03245,0.03085,0.247,0.0000,
109,07:29:04,10626,77,48,1625,2,200,4698,0.03331,0.03167,0.251,0.0000,
110,07:29:19,10271,74,45,1270,2,200,4733,0.03435,0.03265,0.255,0.0000,
111,07:29:33,9542,74,44,540,1,200,4690,0.03287,0.03126,0.251,0.0000,
112,07:29:48,9628,72,44,627,1,200,4700,0.03309,0.03145,0.251,0.0000,
113,07:30:03,9629,74,45,627,1,200,4712,0.03401,0.03229,0.255,0.0000,
114,07:30:18,9613,78,46,611,1,200,4674,0.03358,0.03190,0.251,0.0000,
