frame,wallclock,cycle_ms,post_ms,lv_ms,fetch_ms,retry,http,bytes,medY,meanY,p90,sat,note
1,07:50:50,10567,65,22,43,0,200,2875,0.00049,0.01512,0.078,0.0000,
2,07:51:05,10558,77,23,57,0,200,3230,0.00053,0.03283,0.180,0.0004,
3,07:51:20,10553,82,19,52,0,200,3302,0.00053,0.03400,0.188,0.0006,
4,07:51:35,10550,103,19,49,0,200,3359,0.00053,0.03449,0.192,0.0004,
5,07:51:50,10540,120,19,39,0,200,3322,0.00053,0.03421,0.188,0.0004,
6,07:52:05,10541,136,19,40,0,200,3279,0.00053,0.03402,0.188,0.0004,
7,07:52:20,10543,139,24,42,0,200,3277,0.00053,0.03349,0.184,0.0006,
8,07:52:35,10539,156,19,38,0,200,3295,0.00053,0.03412,0.188,0.0007,
9,07:52:50,10540,180,21,39,0,200,3329,0.00053,0.03429,0.188,0.0006,
10,07:53:05,10546,57,23,46,0,200,3227,0.00053,0.03292,0.180,0.0007,
11,07:53:20,10548,66,26,48,0,200,3293,0.00053,0.03411,0.188,0.0007,
12,07:53:35,10552,89,22,50,0,200,3281,0.00053,0.03464,0.192,0.0006,
13,07:53:50,10547,95,24,47,0,200,3238,0.00053,0.03304,0.180,0.0004,
14,07:54:05,10547,104,19,46,0,200,3202,0.00052,0.03253,0.176,0.0004,
15,07:54:20,10539,119,22,38,0,200,3191,0.00052,0.03269,0.180,0.0005,
16,07:54:35,10542,138,21,41,0,200,3194,0.00052,0.03214,0.176,0.0003,
17,07:54:50,10542,155,24,41,0,200,3134,0.00052,0.03125,0.169,0.0003,
18,07:55:05,10537,173,23,36,0,200,3090,0.00052,0.03073,0.165,0.0001,
19,07:55:20,10539,181,21,38,0,200,3113,0.00052,0.03054,0.165,0.0001,
20,07:55:35,10552,70,21,50,0,200,3080,0.00052,0.03012,0.161,0.0001,
21,07:55:50,10558,78,20,58,0,200,3056,0.00052,0.02967,0.157,0.0000,
22,07:56:05,10550,89,20,49,0,200,3001,0.00051,0.02917,0.153,0.0000,
23,07:56:20,10535,108,30,35,0,200,3018,0.00051,0.02943,0.157,0.0000,
24,07:56:35,10541,119,29,40,0,200,3061,0.00052,0.02956,0.157,0.0000,
25,07:56:50,10542,135,20,41,0,200,3025,0.00052,0.02982,0.157,0.0000,
26,07:57:05,10542,153,18,41,0,200,3050,0.00052,0.02971,0.157,0.0001,
27,07:57:20,10536,166,20,35,0,200,3017,0.00051,0.02937,0.153,0.0000,
28,07:57:35,10537,178,19,36,0,200,3013,0.00051,0.02940,0.153,0.0000,
29,07:57:50,10544,59,22,42,0,200,3002,0.00051,0.02929,0.153,0.0000,
30,07:58:05,10551,64,19,50,0,200,2971,0.00051,0.02874,0.149,0.0000,
31,07:58:20,10551,90,23,50,0,200,2969,0.00051,0.02844,0.145,0.0000,
32,07:58:35,10537,97,19,36,0,200,2943,0.00051,0.02826,0.145,0.0000,
33,07:58:50,10537,116,21,36,0,200,2954,0.00051,0.02816,0.141,0.0000,
34,07:59:05,10543,120,18,41,0,200,2917,0.00051,0.02799,0.141,0.0000,
35,07:59:20,10540,135,19,39,0,200,2960,0.00051,0.02794,0.141,0.0000,
36,07:59:35,10536,153,23,35,0,200,2917,0.00051,0.02781,0.141,0.0000,
37,07:59:50,10546,74,23,46,0,200,2968,0.00051,0.02770,0.141,0.0000,
38,08:00:05,10542,99,19,42,0,200,2944,0.00051,0.02758,0.137,0.0000,
39,08:00:20,10538,113,17,37,0,200,2908,0.00051,0.02748,0.137,0.0000,
40,08:00:35,10536,137,24,35,0,200,2943,0.00051,0.02744,0.137,0.0000,
41,08:00:50,10537,146,21,36,0,200,2960,0.00051,0.02736,0.137,0.0000,
