frame,wallclock,cycle_ms,post_ms,lv_ms,find_ms,dirreq,fetch_ms,http,bytes,medY,meanY,p90,sat,file,note
1,09:42:00,10717,178,19,168,2,36,200,3922,0.00055,0.06779,0.482,0.0015,IMG_0423.CR3,
2,09:42:15,10725,65,19,188,2,36,200,3922,0.00055,0.06766,0.482,0.0015,IMG_0424.CR3,
3,09:42:30,10714,77,18,179,2,33,200,3933,0.00055,0.06825,0.482,0.0014,IMG_0425.CR3,
4,09:42:45,10728,88,19,189,2,38,200,3926,0.00055,0.06855,0.486,0.0013,IMG_0426.CR3,
5,09:43:00,10727,101,24,192,2,33,200,3915,0.00055,0.06741,0.482,0.0011,IMG_0427.CR3,
6,09:43:15,10742,115,18,205,2,35,200,3934,0.00055,0.06733,0.478,0.0011,IMG_0428.CR3,
7,09:43:30,10738,132,19,195,2,42,200,3888,0.00055,0.06730,0.478,0.0011,IMG_0429.CR3,
8,09:43:45,10748,147,18,199,2,48,200,3929,0.00055,0.06760,0.482,0.0011,IMG_0430.CR3,
9,09:44:00,10742,158,20,200,2,40,200,3946,0.00055,0.06737,0.482,0.0009,IMG_0431.CR3,
10,09:44:15,10760,173,19,219,2,40,200,3939,0.00055,0.06711,0.478,0.0010,IMG_0432.CR3,
11,09:44:30,10761,64,22,223,2,37,200,3936,0.00055,0.06706,0.478,0.0010,IMG_0433.CR3,
12,09:44:45,10775,74,19,236,2,37,200,3931,0.00055,0.06588,0.475,0.0008,IMG_0434.CR3,
13,09:45:00,10768,85,20,234,2,34,200,3960,0.00055,0.06585,0.471,0.0012,IMG_0435.CR3,
14,09:45:15,10783,99,19,240,2,42,200,3913,0.00055,0.06718,0.478,0.0014,IMG_0436.CR3,
15,09:45:30,10778,116,20,241,2,35,200,3941,0.00055,0.06714,0.478,0.0014,IMG_0437.CR3,
16,09:45:45,10780,119,19,245,2,33,200,3898,0.00055,0.06713,0.478,0.0015,IMG_0438.CR3,
17,09:46:00,10782,134,21,248,2,33,200,3956,0.00055,0.06712,0.478,0.0013,IMG_0439.CR3,
18,09:46:15,10796,157,19,258,2,36,200,3917,0.00055,0.06714,0.478,0.0013,IMG_0440.CR3,
19,09:46:30,10790,166,19,255,2,35,200,3910,0.00055,0.06716,0.478,0.0011,IMG_0441.CR3,
20,09:46:45,10795,186,18,254,2,38,200,3929,0.00055,0.06817,0.482,0.0013,IMG_0442.CR3,
21,09:47:00,10806,58,19,263,2,42,200,3892,0.00055,0.06835,0.486,0.0013,IMG_0443.CR3,
22,09:47:15,10810,81,19,266,2,43,200,3903,0.00055,0.06833,0.486,0.0012,IMG_0444.CR3,
23,09:47:30,10820,86,19,276,2,41,200,3939,0.00055,0.06846,0.486,0.0013,IMG_0445.CR3,
24,09:47:45,10820,100,19,280,2,39,200,3956,0.00055,0.06814,0.486,0.0014,IMG_0446.CR3,
25,09:48:00,10818,73,19,279,2,38,200,3924,0.00055,0.06796,0.482,0.0011,IMG_0447.CR3,
26,09:48:15,10829,88,20,287,2,41,200,3956,0.00055,0.06820,0.482,0.0014,IMG_0448.CR3,
27,09:48:30,10842,98,20,300,2,40,200,3976,0.00055,0.06862,0.486,0.0013,IMG_0449.CR3,
28,09:48:45,10852,107,18,303,2,47,200,3947,0.00055,0.06831,0.486,0.0015,IMG_0450.CR3,
29,09:49:00,10843,120,18,306,2,37,200,3894,0.00054,0.06824,0.482,0.0013,IMG_0451.CR3,
30,09:49:15,10842,136,19,306,2,35,200,3935,0.00055,0.06862,0.486,0.0015,IMG_0452.CR3,
31,09:49:30,10851,158,20,315,2,36,200,3970,0.00055,0.06873,0.486,0.0015,IMG_0453.CR3,
32,09:49:45,10856,169,18,318,2,36,200,3958,0.00055,0.06884,0.486,0.0015,IMG_0454.CR3,
33,09:50:00,10860,187,20,327,2,33,200,4024,0.00055,0.06976,0.490,0.0016,IMG_0455.CR3,
34,09:50:15,10873,64,21,336,2,36,200,3949,0.00055,0.07039,0.494,0.0019,IMG_0456.CR3,
35,09:50:30,10871,84,19,337,2,32,200,3913,0.00055,0.07006,0.494,0.0017,IMG_0457.CR3,
36,09:50:45,10884,87,20,346,2,36,200,3899,0.00054,0.06930,0.490,0.0018,IMG_0458.CR3,
37,09:51:00,10892,103,18,354,2,37,200,3976,0.00055,0.06949,0.490,0.0017,IMG_0459.CR3,
