frame,wallclock,cycle_ms,post_ms,lv_ms,find_ms,dirreq,fetch_ms,http,bytes,medY,meanY,p90,sat,file,note
1,09:54:30,10988,96,20,415,2,45,200,3919,0.00055,0.07127,0.498,0.0033,IMG_0473.CR3,
2,09:54:45,10962,106,19,420,2,41,200,3912,0.00055,0.07152,0.502,0.0032,IMG_0474.CR3,
3,09:55:00,10961,129,19,424,2,36,200,3903,0.00055,0.07183,0.502,0.0036,IMG_0475.CR3,
4,09:55:15,10973,141,20,425,2,47,200,3927,0.00055,0.07224,0.506,0.0039,IMG_0476.CR3,
5,09:55:30,10973,67,18,436,2,36,200,3988,0.00056,0.07266,0.506,0.0042,IMG_0477.CR3,
6,09:55:45,10984,87,22,449,2,33,200,3984,0.00056,0.07304,0.510,0.0050,IMG_0478.CR3,
7,09:56:00,10980,99,21,440,2,39,200,3915,0.00056,0.07348,0.510,0.0055,IMG_0479.CR3,
8,09:56:15,11019,106,20,459,2,58,200,4001,0.00056,0.07413,0.514,0.0055,IMG_0480.CR3,
9,09:56:30,11001,121,21,449,2,50,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
10,09:56:45,10957,135,20,420,2,37,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
11,09:57:00,10949,21,24,419,2,29,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
12,09:57:25,20533,18,-1,423,2,31,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
13,09:57:45,20500,21,-1,415,2,34,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
14,09:58:06,20513,18,-1,423,2,33,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
15,09:58:26,20517,20,-1,413,2,32,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
16,09:58:47,20472,21,-1,419,2,29,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
17,09:59:07,20490,21,-1,418,2,28,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
18,09:59:28,20483,23,-1,417,2,31,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
19,09:59:48,20535,24,-1,420,2,29,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
20,10:00:09,20504,21,-1,419,2,34,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
21,10:00:29,20497,21,-1,419,2,30,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
22,10:00:50,20526,20,-1,420,2,33,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
23,10:01:10,20519,19,-1,418,2,34,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
24,10:01:31,20485,21,-1,415,2,28,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
25,10:01:51,20517,21,-1,419,2,30,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
26,10:02:12,20528,27,-1,416,2,31,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
27,10:02:32,20533,20,-1,419,2,29,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
28,10:02:53,20491,20,-1,421,2,32,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
29,10:03:14,20527,21,-1,419,2,32,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
30,10:03:34,20543,21,-1,432,2,29,200,3923,0.00056,0.07454,0.518,0.0057,IMG_0481.CR3,
