frame,wallclock,cycle_ms,iso,iso_ms,post_ms,post_http,notify_ms,polls,fetch_ms,fetch_http,file,medY,meanY,note
1,21:01:36,8886,1250,28,67,200,886,3,0,0,IMG_0024.CR3,-1.00000,-1.00000,
2,21:01:49,8932,1600,32,59,200,879,3,39,200,IMG_0025.CR3,0.00046,0.00078,
3,21:02:02,8986,1250,36,135,200,944,3,40,200,IMG_0026.CR3,0.00047,0.00097,
4,21:02:15,9063,1600,40,158,200,1008,3,54,200,IMG_0027.CR3,0.00046,0.00078,
5,21:02:28,8962,1250,32,110,200,925,4,36,200,IMG_0028.CR3,0.00047,0.00096,
6,21:02:41,9021,1600,40,157,200,983,3,35,200,IMG_0029.CR3,0.00046,0.00077,
7,21:02:54,8996,1250,36,151,200,958,3,38,200,IMG_0030.CR3,0.00047,0.00067,
8,21:03:07,9030,1600,33,170,200,991,3,38,200,IMG_0031.CR3,0.00041,0.00024,
9,21:03:20,8991,1250,38,144,200,952,3,38,200,IMG_0032.CR3,0.00043,0.00026,
10,21:03:33,9020,1600,40,153,200,982,3,36,200,IMG_0033.CR3,0.00041,0.00024,
11,21:03:46,9020,1250,38,152,200,983,3,36,200,IMG_0034.CR3,0.00043,0.00025,
12,21:03:59,9004,1600,36,148,200,962,3,39,200,IMG_0035.CR3,0.00042,0.00024,
13,21:04:12,9002,1250,44,147,200,960,3,39,200,IMG_0036.CR3,0.00043,0.00026,
14,21:04:25,9035,1600,37,166,200,991,3,43,200,IMG_0037.CR3,0.00043,0.00026,
15,21:04:38,9010,1250,38,137,200,969,3,38,200,IMG_0038.CR3,0.00043,0.00026,
16,21:04:51,9001,1600,43,135,200,962,3,37,200,IMG_0039.CR3,0.00042,0.00025,
17,21:05:04,9003,1250,43,141,200,960,3,41,200,IMG_0040.CR3,0.00042,0.00025,
18,21:05:17,9048,1600,39,162,200,1000,3,46,200,IMG_0041.CR3,0.00042,0.00024,
19,21:05:30,8988,1250,41,119,200,949,3,37,200,IMG_0042.CR3,0.00043,0.00026,
20,21:05:43,9004,1600,37,155,200,966,3,37,200,IMG_0043.CR3,0.00042,0.00024,
21,21:05:56,9002,1250,47,160,200,964,3,37,200,IMG_0044.CR3,0.00043,0.00026,
22,21:06:09,9041,1600,32,177,200,1001,3,37,200,IMG_0045.CR3,0.00042,0.00024,
23,21:06:22,8988,1250,38,139,200,947,3,39,200,IMG_0046.CR3,0.00043,0.00026,
24,21:06:35,9031,1600,35,174,200,990,3,39,200,IMG_0047.CR3,0.00042,0.00025,
25,21:06:48,9025,1250,38,141,200,982,4,41,200,IMG_0048.CR3,0.00044,0.00027,
26,21:07:01,9017,1600,35,133,200,969,3,46,200,IMG_0049.CR3,0.00042,0.00024,
27,21:07:14,8989,1250,40,124,200,948,3,39,200,IMG_0050.CR3,0.00043,0.00026,
28,21:07:27,9010,1600,35,150,200,971,3,37,200,IMG_0051.CR3,0.00042,0.00025,
29,21:07:40,9001,1250,38,147,200,965,3,35,200,IMG_0052.CR3,0.00043,0.00026,
30,21:07:53,9012,1600,36,158,200,976,3,34,200,IMG_0053.CR3,0.00043,0.00025,
31,21:08:06,9013,1250,33,166,200,973,4,37,200,IMG_0054.CR3,0.00043,0.00026,
32,21:08:19,9027,1600,41,160,200,990,3,35,200,IMG_0055.CR3,0.00042,0.00025,
33,21:08:32,9011,1250,39,140,200,974,3,36,200,IMG_0056.CR3,0.00043,0.00026,
